interconnectorId,interconnectorName,interconnectorBiddingZone,price_zone_code,spread_leads_flow_hours,observations,pearson_spread_vs_signed_mw,spearman_spread_vs_signed_mw
INTNEM,Belgium (Nemolink),BELGIUM,B,1,87612,0.43909868690465065,0.6851496840700296
INTNEM,Belgium (Nemolink),BELGIUM,B,3,87608,0.36821527433609186,0.5367635951838887
INTNEM,Belgium (Nemolink),BELGIUM,B,6,87602,0.27059720518748065,0.3736793621125347
INTNEM,Belgium (Nemolink),BELGIUM,B,12,87590,0.17442786582826456,0.24908936767085155
INTNEM,Belgium (Nemolink),BELGIUM,B,24,87566,0.34211105897761884,0.4956288806837939
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,-24,83104,0.11606827325329697,0.08677593062152658
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,-12,83128,0.07723339887162914,0.06515647443155927
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,-6,83140,0.11501586554616695,0.094711614555292
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,-3,83146,0.1662025380387114,0.149480373725359
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,-1,83150,0.21242855481983158,0.2039068011555065
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,0,83152,0.2235620605477475,0.21928818076981876
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,1,83150,0.2188196146058073,0.21628904204807062
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,3,83146,0.177984238538102,0.1732071398298902
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,6,83140,0.10424762493839407,0.09578577029531722
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,12,83128,0.07235511393195382,0.06678984678652838
INTNSL,North Sea Link (INTNSL),NORWAY2,NO,24,83104,0.11212144705784124,0.09130943354872632
INTVKL,Denmark (Viking link),DENMARK1,DK,-24,43822,0.292958661560102,0.3367182020439398
INTVKL,Denmark (Viking link),DENMARK1,DK,-12,43846,0.233746719291272,0.26595927287604876
INTVKL,Denmark (Viking link),DENMARK1,DK,-6,43858,0.2836926361361243,0.358678019554233
INTVKL,Denmark (Viking link),DENMARK1,DK,-3,43864,0.45438849029758793,0.5590482373946114
INTVKL,Denmark (Viking link),DENMARK1,DK,-1,43868,0.5715592052309612,0.7182315913769544
INTVKL,Denmark (Viking link),DENMARK1,DK,0,43870,0.5896531803145055,0.7539748060706475
INTVKL,Denmark (Viking link),DENMARK1,DK,1,43868,0.567863364934543,0.7180153221798578
INTVKL,Denmark (Viking link),DENMARK1,DK,3,43864,0.46008861141542606,0.5546570352188986
INTVKL,Denmark (Viking link),DENMARK1,DK,6,43858,0.3183385109637147,0.36868505682581426
INTVKL,Denmark (Viking link),DENMARK1,DK,12,43846,0.2154407673100367,0.2463668974614028
INTVKL,Denmark (Viking link),DENMARK1,DK,24,43822,0.2844040221575369,0.3210438153702876
