interconnectorId,day_of_week,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw,mean_export_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity_when_importing,mean_export_pct_active_capacity_when_exporting,mean_available_interconnector_count,mean_missing_interconnector_count,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw,primary_state,primary_state_share_pct,import_export_margin_pct,abs_import_export_margin_pct,direction_bias,mostly_direction,day_name
INTIRL,4,Northern Ireland(Moyle),IRELAND,682,2021-07-02 00:00:00+00:00,2026-06-26 23:30:00+00:00,12525,87408,74883,14.32935200439319,6262.5,3004,8719,802,23.984031936127746,69.6127744510978,6.403193612774451,export,-188.89085828343315,-294.0,-452.0,-450.0,0.0,342.0,51.171417165668664,240.0622754491018,213.3561917443409,344.853767633903,404.0,502.0,502.0,452.0,-27.696606786427147,-43.10850439882698,-66.27565982404691,50.146627565982406,31.28389908274793,50.56506856802096,73.60703812316716,66.27565982404691,,,,,,,320.461,1503.39,-1182.929,1823.851,489,8.056105346253732,0.01596806387225549,0.0,0.0,0.0,0.0,83.0,1.0,export,69.6127744510978,-45.62874251497006,45.62874251497006,export,mostly_export,Friday
INTIRL,5,Northern Ireland(Moyle),IRELAND,682,2021-07-03 00:00:00+00:00,2026-06-27 23:30:00+00:00,12522,87408,74886,14.325919824272379,6261.0,3333,8407,782,26.61715380929564,67.13783740616515,6.245008784539211,export,-169.70659639035298,-258.0,-452.0,-450.0,22.0,380.0,59.23702283980195,228.94361923015492,222.55205520552056,341.00535268228856,404.0,458.0,458.0,452.0,-24.883665159875797,-37.82991202346041,-66.27565982404691,55.718475073313776,32.63226615916724,50.000784850775446,67.15542521994135,66.27565982404691,,,,,,,370.88300000000004,1433.4160000000002,-1062.533,1804.299,506,8.336174448270734,0.0,0.0,0.0,0.0,0.0,82.5,1.0,export,67.13783740616515,-40.5206835968695,40.5206835968695,export,mostly_export,Saturday
INTIRL,6,Northern Ireland(Moyle),IRELAND,682,2021-07-04 00:00:00+00:00,2026-06-28 23:30:00+00:00,12525,87408,74883,14.32935200439319,6262.5,2901,8948,676,23.161676646706585,71.44111776447106,5.397205588822356,export,-187.36063872255488,-286.0,-452.0,-450.0,0.0,360.0,50.43417165668663,237.7948103792415,217.74836263357463,332.8542691104157,404.0,458.0,458.0,452.0,-27.4722344167969,-41.935483870967744,-66.27565982404691,52.785923753665685,31.92791240961505,48.805611306512574,67.15542521994135,66.27565982404691,,,,,,,315.844,1489.19,-1173.346,1805.034,530,8.7315661217065,0.0,0.0,0.0,0.0,0.0,96.0,1.0,export,71.44111776447106,-48.27944111776448,48.27944111776448,export,mostly_export,Sunday
INTNED,0,Netherlands(BritNed),NETHERLANDS,1402,2021-07-05 00:00:00+00:00,2026-06-29 23:30:00+00:00,12524,87408,74884,14.328207944352918,6262.0,7119,4107,1298,56.842861705525394,32.79303736825295,10.364100926221655,import,198.77818588310444,256.0,-1022.0,-350.0,904.0,1048.0,413.8829447460875,215.10475886298306,728.117713161961,655.9464329194059,1078.0,1094.0,1094.0,1052.0,14.178187295513869,18.25962910128388,-72.89586305278173,74.75035663338089,51.93421634536099,46.786478810228665,78.03138373751783,75.03566333808844,,,,,,,2591.735,1346.986,1244.749,3938.721,663,10.922694978663037,63.15873522836155,27.610986905142127,0.0,19.29894602363462,8.312040881507505,31.5,1.0,import,56.842861705525394,24.04982433727244,24.04982433727244,import,mostly_import,Monday
INTNED,1,Netherlands(BritNed),NETHERLANDS,1402,2021-07-06 00:00:00+00:00,2026-06-30 22:30:00+00:00,12519,87406,74887,14.322815367366085,6259.5,7245,4013,1261,57.872034507548534,32.05527598050962,10.07268951194185,import,205.18539819474398,272.0,-1024.0,-348.0,928.0,1048.0,421.50794791916286,216.32254972441888,728.3447895100069,674.8422626463991,1402.0,1094.0,1402.0,1052.0,14.635192453262766,19.400855920114125,-73.03851640513552,74.75035663338089,51.95041294650548,48.13425553825957,100.0,75.03566333808844,,,,,,,2638.429,1354.071,1284.3580000000002,3992.5,657,10.824094731422688,64.00670980110232,29.227574087387172,0.0,20.21726974998003,9.01030433740714,34.0,1.0,import,57.872034507548534,25.816758527038914,25.816758527038914,import,mostly_import,Tuesday
INTNED,2,Netherlands(BritNed),NETHERLANDS,1402,2021-07-07 00:00:00+00:00,2026-06-24 23:30:00+00:00,12477,87072,74595,14.329520396912901,6238.5,7046,4180,1251,56.47190831129277,33.50164302316262,10.026448665544601,import,177.45579866955197,220.0,-1028.0,-398.0,894.0,1048.0,404.99030215596696,227.534503486415,717.1535623048538,679.1741626794259,1080.0,1090.0,1090.0,1054.0,12.65733228741455,15.691868758915833,-73.32382310984308,74.75035663338089,51.15217990762152,48.44323556914592,77.74607703281026,75.17831669044223,,,,,,,2526.532,1419.4740000000002,1107.058,3946.0060000000003,691,11.427915149705411,63.709224973952075,28.019555983008736,0.0,18.786567283802196,9.23298869920654,33.0,1.0,import,56.47190831129277,22.97026528813015,22.97026528813015,import,mostly_import,Wednesday
INTNED,3,Netherlands(BritNed),NETHERLANDS,1402,2021-07-01 00:00:00+00:00,2026-06-25 23:30:00+00:00,12522,87408,74886,14.325919824272379,6261.0,7222,4048,1252,57.674492892509186,32.32710429643827,9.998402811052548,import,204.92844593515412,266.0,-1015.8999999999999,-350.0,928.0,1050.0,419.0245967097908,214.09615077463664,726.5336471891443,662.2806324110672,1196.0,1092.0,1196.0,1054.0,14.61686490265008,18.972895863052784,-72.46077032810271,74.89300998573466,51.82123018467506,47.238276206210216,85.30670470756063,75.17831669044223,,,,,,,2623.513,1340.4560000000001,1283.057,3963.9690000000005,649,10.692049835825506,63.12889314805942,28.062609806740134,0.0,20.124580737901294,7.938029068838843,30.5,1.0,import,57.674492892509186,25.347388596070914,25.347388596070914,import,mostly_import,Thursday
INTNED,4,Netherlands(BritNed),NETHERLANDS,1402,2021-07-02 00:00:00+00:00,2026-06-26 23:30:00+00:00,12525,87408,74883,14.32935200439319,6262.5,7126,4175,1224,56.89421157684631,33.33333333333333,9.772455089820358,import,202.42171656686628,276.0,-1018.0,-394.0,950.0,1052.0,427.53500998003994,225.11329341317366,751.4560763401628,675.339880239521,1078.0,1094.0,1094.0,1054.0,14.438068228735112,19.686162624821684,-72.61055634807418,75.03566333808844,53.59886421827123,48.16974894718409,78.03138373751783,75.17831669044223,,,,,,,2677.438,1409.772,1267.6660000000002,4087.21,611,10.06601301955221,65.42914171656686,30.19560878243513,0.0,21.389221556886227,8.806387225548901,36.5,1.0,import,56.89421157684631,23.56087824351298,23.56087824351298,import,mostly_import,Friday
INTNED,5,Netherlands(BritNed),NETHERLANDS,1402,2021-07-03 00:00:00+00:00,2026-06-27 23:30:00+00:00,12522,87408,74886,14.325919824272379,6261.0,7906,3622,994,63.13687909279668,28.92509183836448,7.938029068838843,import,299.37438108928285,464.0,-1014.0,-208.0,1000.0,1052.0,484.3250279508066,184.95064686152372,767.1032127498103,639.4124792932082,1078.0,1076.0,1078.0,1054.0,21.353379535612188,33.09557774607703,-72.32524964336662,75.03566333808844,54.7149224500578,45.60716685400915,76.8901569186876,75.17831669044223,,,,,,,3032.3590000000004,1157.976,1874.383,4190.335,567,9.341128284919971,67.32151413512219,31.520523877974764,0.0,25.019964861843157,6.500559016131609,26.5,1.0,import,63.13687909279668,34.2117872544322,34.2117872544322,import,mostly_import,Saturday
INTNED,6,Netherlands(BritNed),NETHERLANDS,1402,2021-07-04 00:00:00+00:00,2026-06-28 23:30:00+00:00,12525,87408,74883,14.32935200439319,6262.5,8230,3349,946,65.70858283433134,26.738522954091813,7.552894211576847,import,344.681996007984,562.0,-1008.0,-138.0,1002.0,1052.0,510.4381636726547,165.75616766467067,776.821142162819,619.9151985667363,1076.0,1084.0,1084.0,1054.0,24.585021113265626,40.08559201141227,-71.89728958630528,75.03566333808844,55.40807005440934,44.216490625302164,77.31811697574894,75.17831669044223,,,,,,,3196.6189999999997,1038.048,2158.5710000000004,4234.6669999999995,533,8.78099008088597,68.43912175648703,31.89620758483034,0.0,26.65868263473054,5.2375249500998,33.5,1.0,import,65.70858283433134,38.970059880239525,38.970059880239525,import,mostly_import,Sunday
