interconnectorId,year,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw,mean_export_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity_when_importing,mean_export_pct_active_capacity_when_exporting,mean_available_interconnector_count,mean_missing_interconnector_count,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw,primary_state,primary_state_share_pct,import_export_margin_pct,abs_import_export_margin_pct,direction_bias,mostly_direction
INTFR,2026,France(IFA),FRANCE,2630,2026-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,8686,8686,0,100.0,4343.0,8335,345,6,95.95901450610177,3.971908818788856,0.0690766751093714,import,1176.0377619157264,1478.0,86.5,1000.0,1504.0,1510.0,1192.649320746028,16.611558830301636,1242.8736652669465,418.2260869565217,2012.0,1514.0,2012.0,1510.0,44.716264711624575,56.1977186311787,3.2889733840304185,57.414448669201526,47.25755381243143,15.902132583898165,76.50190114068441,57.414448669201526,,,,,,,5179.6759999999995,72.144,5107.531999999999,5251.82,105,17.409326424870464,90.24867603039374,75.89224038682939,47.616854708726684,75.45475477780336,0.4374856090260189,1.0,1.0,import,95.95901450610177,91.9871056873129,91.9871056873129,import,mostly_import
INTGRNL,2025,Ireland (Greenlink),IRELAND,518,2025-01-30 00:00:00+00:00,2025-12-31 23:30:00+00:00,16128,16128,0,100.0,8064.0,2124,13796,208,13.169642857142858,85.54067460317461,1.2896825396825395,export,-348.57886904761904,-514.0,-514.0,-514.0,-282.0,300.0,32.92943948412698,381.508308531746,250.04048964218455,445.9963757610902,506.0,516.0,516.0,514.0,-67.29321796286082,-99.22779922779922,-99.22779922779922,57.91505791505791,48.270364795788524,86.09968644036489,99.61389961389962,99.22779922779922,,,,,,,265.543,3076.4830000000006,-2810.9400000000005,3342.0260000000007,390,34.82358777205928,57.33506944444444,0.0,0.0,0.0,0.0,19.0,1.0,export,85.54067460317461,-72.37103174603175,72.37103174603175,export,mostly_export
INTGRNL,2026,Ireland (Greenlink),IRELAND,518,2026-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,8686,8686,0,100.0,4343.0,1363,6785,538,15.691918029012204,78.11420676951415,6.193875201473635,export,-318.84296569191804,-496.0,-514.0,-514.0,-72.0,200.0,21.547778033617316,340.39074372553534,137.31768158473955,435.76035372144435,300.0,518.0,518.0,514.0,-61.55269607952085,-95.75289575289575,-99.22779922779922,38.61003861003861,26.509204939138908,84.12362040954523,100.0,99.22779922779922,,,,,,,93.58200000000001,1478.3170000000002,-1384.7350000000001,1571.8990000000001,242,40.12435233160622,49.80428275385678,0.0,0.0,0.0,0.0,181.5,1.0,export,78.11420676951415,-62.422288740501955,62.422288740501955,export,mostly_export
INTIFA2,2021,IFA2 (INTIFA2),FRANCE,1626,2021-07-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,8819,8832,13,99.85280797101449,4409.5,6595,2217,7,74.78172128359223,25.138904637714028,0.07937407869372945,import,456.47511055675244,720.0,-950.0,-2.0,968.0,992.0,590.7227576822769,134.24764712552442,789.9293404094011,534.0234551195309,996.0,1028.0,1028.0,994.0,28.07350003424062,44.28044280442804,-58.42558425584256,61.00861008610086,48.581140246580624,32.84277091756033,63.22263222632226,61.131611316113165,,,,,,,2604.7920000000004,591.965,2012.827,3196.757,235,38.319556109160914,80.26987186755868,4.206826170767661,0.0,0.0,4.206826170767661,1.5,1.0,import,74.78172128359223,49.642816645878206,49.642816645878206,import,mostly_import
INTIFA2,2022,IFA2 (INTIFA2),FRANCE,1626,2022-01-01 00:00:00+00:00,2022-12-31 23:30:00+00:00,17503,17520,17,99.90296803652969,8751.5,4029,13464,10,23.01891104382106,76.92395589327545,0.05713306290350225,export,-443.1470033708507,-754.0,-1030.0,-1028.0,-2.0,990.0,142.18419699480089,585.3312003656516,617.6842889054356,760.9218657159834,994.0,1626.0,1626.0,1030.0,-27.25381324543977,-46.371463714637144,-63.34563345633456,60.88560885608856,37.98796364732076,46.7971627131601,100.0,63.34563345633456,,,,,,,1244.3250000000003,5122.526,-3878.2010000000005,6366.851000000001,539,44.3038986243507,72.74752899502943,37.36502313889047,0.005713306290350225,0.0,37.36502313889047,0.5,1.0,export,76.92395589327545,-53.905044849454384,53.905044849454384,export,mostly_export
INTIFA2,2023,IFA2 (INTIFA2),FRANCE,1626,2023-01-01 00:00:00+00:00,2023-12-31 23:30:00+00:00,17518,17520,2,99.98858447488584,8759.0,11658,5833,27,66.54869277314762,33.29718004338395,0.1541271834684325,import,357.12307341020664,364.0,-592.3,-4.0,890.0,992.0,434.1791300376755,77.05605662746889,652.4232286841653,231.419166809532,1398.0,1030.0,1398.0,992.0,21.96328864761419,22.386223862238623,-36.426814268142685,61.00861008610086,40.12442980837426,14.232421082997044,85.97785977859779,61.00861008610086,,,,,,,3802.9750000000004,674.9340000000001,3128.041,4477.909,673,55.31822592613734,50.65646763329147,1.0160977280511474,0.0,0.011416828405069072,1.0046808996460783,1.5,1.0,import,66.54869277314762,33.25151272976367,33.25151272976367,import,mostly_import
INTIFA2,2024,IFA2 (INTIFA2),FRANCE,1626,2024-01-01 00:00:00+00:00,2024-12-31 23:30:00+00:00,17568,17568,0,100.0,8784.0,10257,7304,7,58.384562841530055,41.57559198542805,0.039845173041894354,import,472.661543715847,490.0,-6.0,-2.0,992.0,992.0,490.6197632058288,17.958219489981786,840.3244613434728,43.194140197152244,1178.0,1030.0,1178.0,992.0,29.06897562828087,30.13530135301353,-0.36900369003690037,61.00861008610086,51.68047117733535,2.656466186786731,72.44772447724476,61.00861008610086,,,,,,,4309.604,157.745,4151.8589999999995,4467.349,200,16.394375818295668,51.064435336976324,0.44968123861566484,0.0,0.022768670309653915,0.426912568306011,1.0,1.0,import,58.384562841530055,16.808970856102007,16.808970856102007,import,mostly_import
INTIFA2,2025,IFA2 (INTIFA2),FRANCE,1626,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,17520,0,100.0,8760.0,13922,3584,14,79.4634703196347,20.456621004566212,0.07990867579908677,import,651.886301369863,984.0,-176.0,251.5,992.0,992.0,683.2127853881278,31.32648401826484,859.7822151989657,153.13616071428572,1156.0,1028.0,1156.0,992.0,40.09140844833106,60.51660516605166,-10.824108241082412,61.00861008610086,52.87713500608645,9.417968063609209,71.09471094710948,61.00861008610086,,,,,,,5984.944,274.42,5710.523999999999,6259.364,276,22.686226382784405,72.77397260273972,0.7705479452054794,0.0,0.017123287671232876,0.7534246575342466,1.0,1.0,import,79.4634703196347,59.00684931506848,59.00684931506848,import,mostly_import
INTIFA2,2026,IFA2 (INTIFA2),FRANCE,1626,2026-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,8686,8686,0,100.0,4343.0,7646,1038,2,88.02670964770896,11.950264793921253,0.023025558369790467,import,751.169928620769,992.0,-4.0,630.0,992.0,992.0,764.5742574257425,13.40432880497352,868.5707559508239,112.16763005780346,996.0,1028.0,1028.0,992.0,46.19741258430314,61.00861008610086,-0.24600246002460024,61.00861008610086,53.41763566733234,6.898378232337238,63.22263222632226,61.00861008610086,,,,,,,3320.5460000000003,58.215,3262.331,3378.761,103,17.077720207253886,79.63389362192032,0.0690766751093714,0.0,0.0,0.0690766751093714,0.5,1.0,import,88.02670964770896,76.0764448537877,76.0764448537877,import,mostly_import
INTIRL,2021,Northern Ireland(Moyle),IRELAND,682,2021-07-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,8819,8832,13,99.85280797101449,4409.5,3383,5169,267,38.36035831726953,58.61208753826964,3.027554144460823,export,-93.30332237215104,-100.0,-456.0,-388.0,172.0,384.0,85.99274294137658,179.2960653135276,224.17085427135677,305.90288256916233,404.0,458.0,458.0,456.0,-13.680839057500151,-14.66275659824047,-66.86217008797654,56.30498533724341,32.86962672600539,44.85379509811764,67.15542521994135,66.86217008797654,,,,,,,379.18500000000006,790.606,-411.421,1169.791,497,81.04178462235308,0.0,0.0,0.0,0.0,0.0,132.0,1.0,export,58.61208753826964,-20.25172922100011,20.25172922100011,export,mostly_export
