interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_signed_pct_capacity,p10_signed_pct_capacity,p25_signed_pct_capacity,median_signed_pct_capacity,p75_signed_pct_capacity,p90_signed_pct_capacity,mean_import_share_pct,mean_export_share_pct
INTGRNL,Ireland (Greenlink),28,7,-427.8154761904762,-492.5333333333333,-476.20833333333337,-461.5833333333333,-405.14583333333337,-319.7333333333333,-82.5898602684317,-95.08365508365509,-91.93211068211069,-89.1087516087516,-78.21348133848133,-61.72458172458172,2.976190476190476,97.02380952380952
INTGRNL,Ireland (Greenlink),29,7,-310.24404761904765,-471.2166666666667,-453.64583333333337,-266.0416666666667,-213.875,-155.18333333333328,-59.89267328553043,-90.96846846846847,-87.5764157014157,-51.35939510939511,-41.28861003861004,-29.958172458172452,11.904761904761903,87.5
INTGRNL,Ireland (Greenlink),30,7,-418.2202380952381,-511.81666666666666,-506.64583333333337,-500.7083333333333,-414.5625,-252.4499999999999,-80.7374977017834,-98.8063063063063,-97.80807593307594,-96.6618404118404,-80.03137065637065,-48.73552123552121,6.845238095238096,92.85714285714286
INTGRNL,Ireland (Greenlink),31,7,-477.375,-512.1,-506.3333333333333,-483.2083333333333,-457.70833333333337,-431.23333333333335,-92.1573359073359,-98.86100386100385,-97.74774774774775,-93.28346203346204,-88.3606821106821,-83.24967824967824,0.5952380952380951,99.40476190476191
INTGRNL,Ireland (Greenlink),32,7,-285.14285714285717,-484.875,-436.97916666666663,-396.2083333333333,-204.20833333333334,-26.666666666666544,-55.04688361831219,-93.60521235521236,-84.35891248391248,-76.48809523809524,-39.422458172458164,-5.148005148005126,18.154761904761905,81.84523809523809
INTGRNL,Ireland (Greenlink),33,7,-447.05952380952385,-509.08333333333337,-480.875,-444.3333333333333,-432.5,-391.9,-86.30492737635595,-98.27863577863577,-92.8330115830116,-85.77863577863577,-83.4942084942085,-75.65637065637065,1.1904761904761902,97.61904761904762
INTGRNL,Ireland (Greenlink),34,7,-492.7142857142857,-512.6999999999999,-510.0208333333333,-508.0416666666667,-479.8125,-453.84166666666664,-95.11858797573083,-98.97683397683397,-98.45962033462033,-98.07754182754182,-92.62789575289574,-87.61422136422136,0.0,100.0
INTGRNL,Ireland (Greenlink),35,7,-203.84523809523807,-292.175,-266.5625,-246.625,-154.58333333333331,-76.02499999999998,-39.352362566648274,-56.40444015444015,-51.459942084942085,-47.61100386100386,-29.84234234234234,-14.676640926640921,26.785714285714285,72.02380952380952
INTGRNL,Ireland (Greenlink),36,7,-388.3511904761905,-507.8666666666667,-503.33333333333337,-460.5,-361.70833333333337,-177.1333333333332,-74.97127229270086,-98.04375804375805,-97.16859716859717,-88.8996138996139,-69.82786357786358,-34.19562419562418,10.119047619047619,89.58333333333334
INTGRNL,Ireland (Greenlink),37,7,-308.4226190476191,-449.1166666666667,-409.1666666666667,-354.2083333333333,-243.16666666666669,-102.51666666666661,-59.541046148189004,-86.70205920205919,-78.98970398970398,-68.37998712998713,-46.94337194337194,-19.79086229086228,9.821428571428571,80.65476190476191
