project,connection_site,assigned_charging_zone,updated_charging_zone,latitude,longitude,location_basis,confidence,source_urls,notes,customer_name,project_status,host_to,plant_type,project_id,project_number
Knockcronal Wind Farm,Knockcronal Wind Farm 33kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Knockcronal Wind Farm Limited,Awaiting Consents,SPT,Wind Onshore,a0l4L0000005ikKQAQ,PRO-001801
Knockodhar Wind Farm,Knockodhar Wind Farm 132kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,REG KNOCKODHAR LIMITED,Scoping,SPT,Wind Onshore,a0l4L0000005inYQAQ,PRO-000483
Harting Rig Wind Farm,Kype Muir 132/33kV,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to KYPE MUIR.,KYPE EXTENSION WIND FARM LIMITED,Built,SPT,Wind Onshore,a0l4L0000005isKQAQ,PRO-000303
Greenock Road BESS,Greenock Road 275kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Pulse Clean Energy Limited,Scoping,SPT,Energy Storage System,a0l8e0000012kkHAAQ,PRO-004761
Gresham House Cockenzie BESS,Meadowmill 400/132kV Substation,GZ11,,55.953622,-2.957767,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/node/6680454620; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Cockenzie 400/132kV). Location matched to Meadowmill.,COCKENZIE STORAGE LIMITED,Scoping,SPT,Energy Storage System,a0l4L0000005iuFQAQ,PRO-002209
Gresham House Dalmarnock BESS,Gresham House Dalmarnock Bess 132kv Substation,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to DALMARNOCK.,ENERGYHUBDEVELOPMENTS LIMITED,Scoping,SPT,Energy Storage System,a0l8e0000010wkCAAQ,PRO-002809
Gresham House Mossmoran BESS,LOCH GELLY COLLECTOR 132KV SUBSTATION,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,MOSSMORRAN ENERGY STORAGE LIMITED,Scoping,SPT,Energy Storage System,a0l4L0000005ituQAA,PRO-002395
Craig Nab Wind Energy Hub,Ladyburn 132kV Substation,GZ11,GZ10,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Craig Nab Wind Energy Hub Limited,Scoping,SPT,Energy Storage System;Wind Onshore,a0l4L0000005iUeQAI,PRO-002450
Craiglarie Wind Farm,Ladyburn 132kV Substation,GZ11,GZ10,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Invenergy Development UK Ltd,Scoping,SPT,Energy Storage System;Wind Onshore,a0lJ9000000PNEjIAO,PRO-005971
Lairdmannoch Energy Park,Lairdmannoch Energy Park 132kV substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,LAIRDMANNOCH ENERGY PARK LIMITED,Scoping,SPT,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,a0l8e000000eytlAAA,PRO-003781
Land at Leitholm,LAND AT LEITHOLM 132KV SUBSTATION,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Eccles 400/132kV). Location matched to ECCLES.,NOVENTUM POWER SOLAR 6 LIMITED,Scoping,SPT,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000001HxadAAC,PRO-004265
