project,connection_site,assigned_charging_zone,updated_charging_zone,latitude,longitude,location_basis,confidence,source_urls,notes,customer_name,project_status,host_to,plant_type,project_id,project_number
Larks Green Farm BESS,Iron Acton 132kV Substation,GZ18,,51.568884,-2.481022,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to IRON ACTON 132KV S/S.,VOLTALIA UK LTD,Scoping,NGET,Energy Storage System,a0l8e000000f4Z0AAI,PRO-003849
Leadenham High Impact Green Energy Hub,Trent Valley South Connection Node A 400kV,GZ18,,52.518544,-1.258391,project proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Same-project zone proxy (CODDINGTON BESS). Location matched to CODDINGTON BESS. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,TELIS ENERGY UK LIMITED,Scoping,NGET,Energy Storage System;Nuclear;PV Array (Photo Voltaic/solar);Wind Onshore,a0l8e000000f40kAAA,PRO-003815
Lebanon Farm 2 BESS,Warley 275kV Substation,GZ18,,51.552864,0.300948,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to WARLEY 275KV S/S.,CEDARTECH ENERGY LTD,Scoping,NGET,Energy Storage System,a0l8e000000f5djAAA,PRO-003939
Legacy 400,Legacy 400kV Substation,GZ18,,53.028401,-3.053754,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LEGACY 400KV S/S.,ENSO GREEN HOLDINGS LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,a0l4L0000005iznQAA,PRO-002193
Legacy Green Energy Centre,Legacy 400kV Substation,GZ18,,53.028401,-3.053754,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LEGACY 400KV S/S.,LEGACY GREEN ENERGY LIMITED,Awaiting Consents,NGET,Energy Storage System,a0l4L0000005idLQAQ,PRO-001662-1
Legacy Green Energy Centre,Legacy 400kV Substation,GZ18,,53.028401,-3.053754,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LEGACY 400KV S/S.,LEGACY GREEN ENERGY LIMITED,Awaiting Consents,NGET,Energy Storage System,a0l4L0000005idLQAQ,PRO-001662-2
Legacy Tertiary Connection,Legacy 400kV Substation,GZ18,,53.028401,-3.053754,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LEGACY 400KV S/S.,HD639LEG LIMITED,Consents Approved,NGET,Energy Storage System,a0l4L0000005izMQAQ,PRO-001171
Leighton Buzzard,West Anglia Connection Node A 400kV Substation,GZ18,,51.903678,-0.67758,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to LEIGHTON BUZZARD 25KV S/S.,Leighton Buzzard 10 Renewables Limited,Scoping,NGET,Demand;PV Array (Photo Voltaic/solar),a0l8e000000TPR0AAO,PRO-003411
Lightsource Bagots Farm,Derbyshire Connection Node E 400kV Substation,GZ18,,52.518544,-1.258391,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Drakelow 400kV Substation). Location matched to DRAKELOW.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;Wind Onshore,a0lJ9000000blMwIAI,PRO-004829
Lightsource Berthlwyd,MID WALES CONNECTION NODE A 400KV SUBSTATION,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,a0lJ9000000blP7IAI,PRO-004858
Lightsource Bramford PV & BESS,South Anglia Connection Node A 400kV Substation,GZ18,,52.05,1.15,settlement/regional proxy,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/,Named regional settlement proxy (south anglia). Location matched to south anglia. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000f42RAAQ,PRO-003835
Lightsource Braybrooke,West Anglia Connection Node F 400kV Substation,GZ18,,52.464397,-0.885865,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to MARKET HARBOROUGH 400KV SUBSTATION.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000f6pcAAA,PRO-003989
Lightsource Enderby PV+BESS,Derbyshire Connection Node B 400kV Substation,GZ18,,52.518544,-1.258391,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Coventry 275kV Substation). Location matched to COVENTRY.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000f4dhAAA,PRO-003854
Lightsource Grendon PV+BESS,West Anglia Connection Node C 400kV Substation,GZ18,,52.2,0.12,settlement/regional proxy,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/,Named regional settlement proxy (west anglia). Location matched to west anglia. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000exlWAAQ,PRO-003742
Lightsource Jubilee Farm,Jubilee Farm 275kV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,a0lJ9000000blLeIAI,PRO-004815
Lightsource Marston Vale 240MW PV+BESS,Marston Vale 400kV Substation,GZ18,,52.05208,-0.529238,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to MARSTON VALE 400KV S/S.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000f6OSAAY,PRO-003981
Lightsource Newchurch PV/BESS,East Kent connection node A 400kV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000exRuAAI,PRO-003717
Lightsource Patford Bridge,Derbyshire Connection Node I 400kV Substation,GZ18,,52.518544,-1.258391,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Patford Bridge 400kV Substation). Location matched to PATFORD BRIDGE.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0lJ9000000blL0IAI,PRO-004807
Lightsource Pyworthy,West Country Connection Node A 400kV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System,a0l8e000001HodQAAS,PRO-004089
Lightsource Willington,Derbyshire Connection Node D 400kV Substation,GZ18,,52.518544,-1.258391,charging-zone centroid proxy,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Willington 400kV Substation). Location matched to WILLINGTON EAST. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;Wind Onshore,a0lJ9000000blMSIAY,PRO-004824
Lightsource Yaxley PV,North Anglia Connection Node E 400kV Substation,GZ18,,52.331976,1.105285,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/1389837653,Spatial point-in-polygon. Location matched to Yaxley Substation.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000f4ArAAI,PRO-003837
Lightsourcebp Wakeleys Wind and BESS,Derbyshire Connection Node G 400kV,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Lightsource Renewable UK Development Limited,Scoping,NGET,Energy Storage System;Wind Onshore,a0lJ9000000blMhIAI,PRO-004827
Lime Tree Energy Park,South Anglia Connection Node E 400kV Substation,GZ18,,52.05,1.15,settlement/regional proxy,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/,Named regional settlement proxy (south anglia). Location matched to south anglia. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,BNRG LANGMEAD LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000001HpUiAAK,PRO-004121
Lincomb Farm 120MW BESS Scheme,Bishops Wood 132kV Substation,GZ18,,52.312823,-2.242495,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to BISHOPS WOOD 132KV S/S.,FPC ELECTRIC LAND LIMITED,Scoping,NGET,Energy Storage System,a0l4L0000005iUbQAI,PRO-002442
Little Barford,Eaton Socon 400kV Substation,GZ18,,52.214664,-0.301504,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to EATON SOCON 400KV S/S.,RWE Generation UK Plc,Built,NGET,CCGT (Combined Cycle Gas Turbine);Energy Storage System,a0l4L0000005inpQAA,PRO-000125
Little Harrowden,West Anglia Connection Node F 400kV Substation,GZ18,,52.464397,-0.885865,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to MARKET HARBOROUGH 400KV SUBSTATION.,Little Harrowden 10 Renewables Limited,Scoping,NGET,Demand;PV Array (Photo Voltaic/solar),a0l8e000000TPRPAA4,PRO-003416
Little Hill,Pont Abraham GSP,GZ18,,52.1555,-3.3717,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://zenodo.org/records/10866260,Spatial point-in-polygon. Location matched to Builth Wells.,BRYN GILWERN ENERGY PARK LIMITED,Scoping,NGET,Wind Onshore,a0l4L0000005iUFQAY,PRO-001556
Littlebrook BESS,Littlebrook 132kV Substation,GZ18,,51.4638,0.237601,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LITTLEBROOK 400KV S/S.,ECODEV (SOUTH) LTD,Scoping,NGET,Energy Storage System,a0l4L0000005iWgQAI,PRO-001832
Llwynygog,Chirk GSP,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ESGAIR GALED ENERGY PARK LIMITED,Scoping,NGET,Wind Onshore,a0l4L0000005iUKQAY,PRO-001583
Llyn Lort II Energy Park,Chirk 132kV,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Llyn Lort II Energy Park Limited,Scoping,NGET,Wind Onshore,a0l8e0000010waCAAQ,PRO-002697
Long Buckby Solar/BESS,Derbyshire Connection Node I 400kV Substation,GZ18,,52.518544,-1.258391,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Patford Bridge 400kV Substation). Location matched to PATFORD BRIDGE.,Greentech Invest UK (17) Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0lJ9000000blQKIAY,PRO-004873
Long Stratton 400,North Anglia Connection Node A 400kV,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ENSO GREEN HOLDINGS X LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0lJ9000000blPvIAI,PRO-004868
Long Stratton BESS,North Anglia Connection Node A 400kV,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Field Long Stratton Ltd,Scoping,NGET,Energy Storage System,a0lJ9000000blOTIAY,PRO-004850
Long Stratton PV & BESS Station,Long Stratton 400kV,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,EAST PYE SOLAR LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005ivJQAQ,PRO-002297
Low Carbon Energy Centre BESS Joyce Green Lane,Littlebrook 132kV Substation,GZ18,,51.4638,0.237601,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to LITTLEBROOK 400KV S/S.,NET ZERO MARINE SERVICES LIMITED,Scoping,NGET,Energy Storage System,a0l8e0000011ydaAAA,PRO-003540
Lower Pool Energy Park,Derbyshire Connection Node B 400kV Substation,GZ18,,52.518544,-1.258391,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Coventry 275kV Substation). Location matched to COVENTRY.,Cairn Duhie Energy Limited,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000011zQGAAY,PRO-003586
Lynefield BESS,Borders Connection Node A 400kV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,WINDEL GRID 1 LIMITED,Scoping,NGET,Energy Storage System,a0l8e0000011yx6AAA,PRO-003555
Mablethorpe Storage,Lincolnshire Coastal Node 400kV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,THEDDLETHORPE FLEXIBLE GENERATION LIMITED,Scoping,NGET,CCGT (Combined Cycle Gas Turbine);Energy Storage System,a0l4L0000005iw4QAA,PRO-001979
Maesnant Energy Park,Chirk GSP,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Maesnant Energy Park Limited,Scoping,NGET,Wind Onshore,a0l4L0000005iRZQAY,PRO-001919
Manor Farm_Sidcup,NORTH KENT CONNECTION NODE C 132KV SUBSTATION,GZ18,,52.518544,-1.258391,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Hurst GSP). Location matched to HURST.,FIRSTWAY SOLAR LTD,Scoping,NGET,Energy Storage System,a0lJ9000000blaXIAQ,PRO-004899
Market Harborough,West Anglia Connection Node F 400kV Substation,GZ18,,52.464397,-0.885865,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to MARKET HARBOROUGH 400KV SUBSTATION.,CONNECTID 1 LIMITED,Scoping,NGET,Demand;Energy Storage System;PV Array (Photo Voltaic/solar);Reactive Compensation,a0l8e000000TPMdAAO,PRO-003271
Market Harborough GEC (Ethos Green),Market Harborough 400kV Substation,GZ18,,52.464397,-0.885865,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to MARKET HARBOROUGH 400KV SUBSTATION.,MARKET HARBOROUGH GREEN ENERGY CENTRE LTD,Awaiting Consents,NGET,Demand;Energy Storage System;PV Array (Photo Voltaic/solar);Reactive Compensation,a0l8e000000ViF4AAK,PRO-004343
Market Harborough Green Energy Hub,West Anglia Connection Node F 400kV Substation,GZ18,,52.464397,-0.885865,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to MARKET HARBOROUGH 400KV SUBSTATION.,TELIS ENERGY UK LIMITED,Scoping,NGET,Energy Storage System;Hydro;Nuclear;PV Array (Photo Voltaic/solar);Wind Onshore,a0l8e00000120NNAAY,PRO-003623
Meridian Solar Farm,Weston Marsh 400kV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,MERIDIAN SOLAR FARM LIMITED,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005iujQAA,PRO-002399
Middle Farm Chollerton,Borders Connection Node A 400kV,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ENRAY POWER LTD,Scoping,NGET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e000000ViF9AAK,PRO-004344
Millbrook Power,Marston Vale 400kV Substation,GZ18,,52.05208,-0.529238,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.arcgis.com/home/item.html?id=bfa8beda20194e6baff43d8f911a95cf,Spatial point-in-polygon. Location matched to MARSTON VALE 400KV S/S.,MILLBROOK POWER LIMITED,Under Construction/Commissioning,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005ilMQAQ,PRO-000373
Moel y Llyn,Chirk GSP,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Waun Hesgog Energy Park Limited,Scoping,NGET,Wind Onshore,a0l4L0000005iUMQAY,PRO-001585
Mount Pleasant,Warwickshire Connection Node A 400kV Substation,GZ18,,51.817102,-2.495171,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/node/13397819106; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Bishops Wood 275kV Substation). Location matched to Mount Pleasant 2661.,HARMONY ENERGY LIMITED,Scoping,NGET,Energy Storage System,a0lJ9000000PN5CIAW,PRO-005962
Mwdwl Eithin Energy Park,Gwyddelwern 400kV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,MOEL CHWA ENERGY PARK LIMITED,Scoping,NGET,Wind Onshore,a0l4L0000005ifqQAA,PRO-001511
Mynydd Y Gwynt,MID WALES CONNECTION NODE A 400KV SUBSTATION,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,EDF ENERGY RENEWABLES LIMITED,Scoping,NGET,Energy Storage System;Wind Onshore,a0lJ9000000POh8IAG,PRO-006086
Nant Ceiment Energy Park,Pont Abraham GSP,GZ18,,52.1555,-3.3717,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://zenodo.org/records/10866260,Spatial point-in-polygon. Location matched to Builth Wells.,NANT CEIMENT ENERGY PARK LIMITED,Scoping,NGET,Wind Onshore,a0l4L0000005iP5QAI,PRO-001610
Nant Y Maen Wind Farm,Nant Y Maen 132KV Substation,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,EDF ENERGY RENEWABLES LIMITED,Scoping,NGET,Wind Onshore,a0l4L0000005iv0QAA,PRO-001158
NatPower Enderby - Patford Bridge Green Energy Park,Derbyshire Connection Node G 400kV,GZ18,,52.518544,-1.258391,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (NGET). Location matched to NGET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ENDERBY ENERGY LIMITED,Scoping,NGET,Energy Storage System,a0l8e000001Hpe3AAC,PRO-004132
