Connection Site,TEC Project Names,TEC Customer Names,TEC Plant Types,TEC Project Numbers,TEC Register Source,Latitude,Longitude,Matched Feature,Match Type,Confidence,Match Score,Source URL,Source Description,Confidence Notes
Richborough 400kV Substation,Richborough 1 | Richborough 2 | Sheaf Energy,RICHBOROUGH ENERGY PARK LIMITED | SHEAF ENERGY LIMITED,Energy Storage System,PRO-001165 | PRO-001164 | PRO-001745,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.310668,1.345762,RICHBOROUGH GRID 33KV,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RICHBOROUGH GRID 33KV; UK POWER NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Richborough GSP,Harrington Franklin Limited,EDP RENEWABLES UK LIMITED,Energy Storage System,PRO-004075,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.310668,1.345762,RICHBOROUGH GRID 33KV,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RICHBOROUGH GRID 33KV; UK POWER NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rivox 132/33kV,Rivox Wind Farm,RIVOX WIND ENERGY HUB LIMITED,Energy Storage System;Wind Onshore,PRO-001944,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.384380,-3.760321,Rivox Wind Farm - Wind farm,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 9317: Rivox Wind Farm - Wind farm; Rivox Wind Farm Lowther Hills West Of Moffat; planning ref ECU00003293,TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Robin Rigg East 132/33kV Offshore Substation,Robin Rigg East Offshore Wind Farm,RWE RENEWABLES UK ROBIN RIGG EAST LIMITED,Wind Offshore,PRO-000194,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.746602,-3.694647,Robin Riggs East,Strong name match,High,96.8,https://www.openstreetmap.org/way/1392651455,OpenStreetMap named substation feature: Robin Riggs East,Strong name match; score 96.8/100; next-candidate margin 6.5. Coordinates represent the matched mapped feature.
Robin Rigg West Offshore Wind Farm Substation,Robin Rigg West Offshore Wind Farm,RWE RENEWABLES UK ROBIN RIGG WEST LIMITED,Wind Offshore,PRO-000195,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.746555,-3.694694,Robin Riggs West,Strong name match,High,96.8,https://www.openstreetmap.org/way/1392651456,OpenStreetMap named substation feature: Robin Riggs West,Strong name match; score 96.8/100; next-candidate margin 6.5. Coordinates represent the matched mapped feature.
Rochdale 132kV Substation,Green Frog @ Goose House Lane,VIRIDIS 178 LIMITED,CCGT (Combined Cycle Gas Turbine),PRO-001316,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.621662,-2.215460,ROCHDALE 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ROCHDALE 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rochdale 275kV Substation,Rochdale BESS,Rochdale (BES) Ltd,Energy Storage System,PRO-001805,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.622028,-2.216883,ROCHDALE 275KV SITE,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ROCHDALE 275KV SITE; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rochdale GSP,Calderdale Wind Farm 240 MW,CALDERDALE WIND FARM LTD,Wind Onshore,PRO-004365,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.621662,-2.215460,ROCHDALE 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ROCHDALE 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rocksavage 400kV Substation,Rocksavage,"ROCKSAVAGE POWER COMPANY, LTD.",CCGT (Combined Cycle Gas Turbine),PRO-000204,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.314962,-2.724972,ROCKSAVAGE 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ROCKSAVAGE 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Roger Hill Farm 132kV substation,Roger Hill Farm,QAIR RENEWABLES UK LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-003708,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.723605,-1.224698,ROSE HILL,Candidate infrastructure match,Low,84.2,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ROSE HILL; SSE NETWORKS; PSS,Candidate infrastructure match; score 84.2/100; next-candidate margin 4.2. Coordinates represent the matched mapped feature.
