Connection Site,TEC Project Names,TEC Customer Names,TEC Plant Types,TEC Project Numbers,TEC Register Source,Latitude,Longitude,Matched Feature,Match Type,Confidence,Match Score,Source URL,Source Description,Confidence Notes
Carraig Gheal 132/33kV Substation,Carraig Gheal Wind Farm,GREENPOWER (CARRAIG GHEAL) LIMITED,Wind Onshore,PRO-000091,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.336278,-5.269535,Carraig Gheal,Exact normalized name,High,100.0,https://www.openstreetmap.org/relation/8117328,OpenStreetMap named plant feature: Carraig Gheal,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Carrick Wind Farm Substation,Carrick Wind Farm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Wind Onshore,PRO-001026,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.405123,-6.414951,Carrick,Town/locality proxy,Low,100.0,https://www.openstreetmap.org/relation/5338676,OpenStreetMap named locality: Carrick,"Town/locality proxy; score 100.0/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Carrington 275kV Substation,Carrington,PIVOTED POWER LLP,Energy Storage System,PRO-001025,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.434455,-2.402059,CARRINGTON 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CARRINGTON 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Carrington 400KV Substation,Carrington | Cryogenic Battery System (Synchronous) | Trafford 2 BESS,CARRINGTON STORAGE LIMITED | CRYOBATTERY ONE LIMITED | FUTURE POINT MANCHESTER LIMITED,Energy Storage System | Energy Storage System;Reactive Compensation,PRO-000276 | PRO-000549-1 | PRO-000549-2 | PRO-004992,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.436586,-2.407001,CARRINGTON 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CARRINGTON 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Carrington GSP (SP Manweb),Carrington Power Station | Middlewich BEGA,CARRINGTON POWER LIMITED | CONRAD (MIDDLEWICH) LIMITED,CCGT (Combined Cycle Gas Turbine) | Gas Reciprocating,PRO-000092 | PRO-000849,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.070885,-0.053059,Carrington Farm AD,TEC project matched to DESNZ REPD,Medium,96.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 357: Carrington Farm AD; LAND TO THE NORTH OF BEECHES LANE, CARRINGTON, BOSTON, ; planning ref S/029/00231/14",TEC project matched to DESNZ REPD; score 96.0/100; next-candidate margin 96.0. Coordinates represent the matched mapped feature.
Cashlie GSP,Cashlie (Part of Killin Cascade Hydro Scheme),SSE Generation Limited,Hydro,PRO-000069,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.544250,-4.457701,CASHLIE,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CASHLIE; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Cassley GSP,Sallachy Wind Farm,WKN SALLACHY LIMITED,Wind Onshore,PRO-002137,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,58.187556,-4.729118,CASSLEY,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CASSLEY; SSE NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Castlemilk 400kV Substation,Castlemilk 1,Queequeg Renewables Ltd,PV Array (Photo Voltaic/solar),PRO-003932,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.806991,-4.237001,CASTLEMILK,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CASTLEMILK; SP ENERGY NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Ceannacroc GSP,Ceannacroc (part of the Moriston Cascade),SSE Generation Limited,Hydro,PRO-000070,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.154072,-4.936954,CEANNACROC,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CEANNACROC; SSE NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Ceislien Wind Farm,Ceislein Wind Farm,RWE Renewables UK Onshore Wind Limited,Wind Onshore,PRO-003256,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.597137,-4.423681,Ceislein Wind Farm,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 17099: Ceislein Wind Farm; 3Km SW Of Wester Lealty At Cnoc Ceislain Novar Evanton; planning ref  ECU00005174,TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Cellarhead 132kV Substation,Cellarhead Home Farm | Chatterley,CELLARHEAD BESS LTD | CONRAD (CHATTERLEY) LIMITED,Energy Storage System | Gas Reciprocating,PRO-001715 | PRO-000915,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.041131,-2.085763,CELLARHEAD 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CELLARHEAD 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Cellarhead 400kV Substation,Cellarhead | Cellarhead 400kV Energy Storage | Cellarhead Green Energy Centre | Thorney Edge,ENSO GREEN HOLDINGS X LIMITED | C & S ENERGY LIMITED | S & C ENERGY LIMITED | ARL Energy Development Limited,Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System,PRO-002161 | PRO-001685 | PRO-001758 | PRO-002327,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.040872,-2.082600,CELLARHEAD 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CELLARHEAD 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
CELTIC SEA 275/66KV OFFSHORE SUBSTATION,Celtic Sea Offshore Wind Farm (ESB),ESB ASSET DEVELOPMENT UK LIMITED,Wind Offshore,PRO-002219,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,75.0,,,Best candidate 'Celtic Gateway Substation' scored 75.0; below reliability threshold.
CHALMERSTON WINDFARM 132kV SUBSTATION,Chalmerston Windfarm,BROCKWELL ENERGY LIMITED,Wind Onshore,PRO-004057,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.474090,-3.044901,CHARLESTON,Fuzzy infrastructure match,Medium,89.7,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHARLESTON; SSE NETWORKS; GSP,Fuzzy infrastructure match; score 89.7/100; next-candidate margin 4.0. Coordinates represent the matched mapped feature.
Chapelcross 132/33kV,Chapelcross Solar PV and Storage | Craig II Wind Farm | Lightsource Mount Annan BESS | Solwaybank,EEB68 LIMITED | CRAIG WIND FARM LIMITED | Lightsource Renewable UK Development Limited | SOLWAYBANK ENERGY LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | Wind Onshore | Energy Storage System,PRO-002031 | PRO-000108 | PRO-003034 | PRO-000048,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.017990,-3.235001,CHAPELCROSS,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHAPELCROSS; SP ENERGY NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Chapelcross GSP,Minsca,MINSCA WINDFARM (SCOTLAND) LIMITED,Wind Onshore,PRO-000236,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.017990,-3.235001,CHAPELCROSS,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHAPELCROSS; SP ENERGY NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Charleston GSP,Lyndhurst Camperdown BESS,Geocore Ltd,Energy Storage System,PRO-002658,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.474073,-3.044835,CHARLESTON,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHARLESTON; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Charleston GSP 132/33kV,Stoneygroves PV,Enviromena Project Management UK Limited,PV Array (Photo Voltaic/solar),PRO-006127,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.474073,-3.044835,CHARLESTON,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHARLESTON; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Cheshire Connection Node A 400kV Substation,Bute Hydrogen Project 6 | Lightsource Lower Frankton | New Marton Solar Farm - PVDP | Noventum -New Marton,Haldane Energy Project 6 Limited | Lightsource Renewable UK Development Limited | SolarFour Ltd | NOVENTUM POWER SOLAR 11 LIMITED,CCGT (Combined Cycle Gas Turbine) | Energy Storage System;PV Array (Photo Voltaic/solar),PRO-004129 | PRO-003859 | PRO-004139 | PRO-004634,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.633482,-3.383282,Cheshire Road Substation,Candidate infrastructure match,Low,78.6,https://www.openstreetmap.org/node/13495452336,OpenStreetMap named substation feature: Cheshire Road Substation,Candidate infrastructure match; score 78.6/100; next-candidate margin 9.6. Coordinates represent the matched mapped feature.
Cheshire Connection Node A2 400kV,NatPower Oswestry Green Energy Park | New Marton GEC,NP SPV 43 LIMITED | NEW MARTON GREEN ENERGY CENTRE LIMITED,Energy Storage System | Demand;Energy Storage System;PV Array (Photo Voltaic/solar);Reactive Compensation,PRO-005057 | PRO-004796,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,75.9,,,Best candidate 'Cheshire Road Substation' scored 75.9; below reliability threshold.
Cheshire Connection Node B 400kV Substation,Lightsource Bodelwyddan | NatPower Connah Quay Green Energy Park,Lightsource Renewable UK Development Limited | CONNAHS QUAY ENERGY LIMITED,Energy Storage System,PRO-003877 | PRO-004797,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.633482,-3.383282,Cheshire Road Substation,Candidate infrastructure match,Low,78.6,https://www.openstreetmap.org/node/13495452336,OpenStreetMap named substation feature: Cheshire Road Substation,Candidate infrastructure match; score 78.6/100; next-candidate margin 8.3. Coordinates represent the matched mapped feature.
Chessington 132kV,Chessington Estate,Chessington BESS Ltd,Energy Storage System,PRO-004420,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.343414,-0.323344,CHESSINGTON 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHESSINGTON 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Chesterfield 400kV Substation (Not yet constructed),Arkwright | Chesterfield,ARLINGTON (GROUP SERVICES) LIMITED | SSE RENEWABLES SOLAR & BATTERY HOLDINGS LIMITED,Energy Storage System | Energy Storage System;PV Array (Photo Voltaic/solar),PRO-003248 | PRO-003861,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.247916,-1.346445,Arkwright Solar Farm,TEC project matched to DESNZ REPD,Medium,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 2107: Arkwright Solar Farm; Land To West Of Duckmanton and North Of Tom Lane Chesterfield Derbyshire; planning ref CHE/14/00644/FUL,TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Chesterfield GSP,Newtonwood BESS,CARE POWER (NEWTONWOOD) LIMITED,Energy Storage System,PRO-004156,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.224572,-1.388890,CHESTERFIELD 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHESTERFIELD 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Chickerell 400kV Substation,BESS North Farm | Chickerell | Chickerell Solar PV & BESS | Portwind,REWE 5 LIMITED | ENSO GREEN HOLDINGS X LIMITED | SSE Generation Limited | CHICKERELL STORAGE LIMITED | SE PORTWIND LTD,Energy Storage System | Energy Storage System;PV Array (Photo Voltaic/solar) | CHP (Combined Heat and Power) | Energy Storage System;PV Array (Photo Voltaic/solar);Wind Offshore,PRO-002060 | PRO-002186-1 | PRO-002186-2 | PRO-002186-3 | PRO-001279 | PRO-001598 | PRO-002046,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.624627,-2.486516,CHICKERELL 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CHICKERELL 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Chickerell B 400kV Substation,Moreton Estate,EPL NEWCO5 LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-003920,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.624518,-2.503612,Chickerell,Town/locality proxy,Medium,96.0,https://www.openstreetmap.org/node/29928709,OpenStreetMap named town: Chickerell,"Town/locality proxy; score 96.0/100; next-candidate margin 14.5. Coordinates are a geographic proxy, not the confirmed electrical asset."
Chickerell-Mannington 400kV Substation,Frome Valley Energy Park,BIOSOUTH ENERGY LIMITED,Demand;Energy Storage System;PV Array (Photo Voltaic/solar),PRO-006617,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,68.5,,,Best candidate 'MANNINGTON' scored 68.5; below reliability threshold.
Chiltern Connection Node A 400kV Substation,Didcot BESS 1,Downing Renewable Developments LLP,Energy Storage System,PRO-003446,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.606359,-1.245999,Didcot,TEC project-derived locality proxy,Low,96.0,https://www.openstreetmap.org/node/267769544,OpenStreetMap named town: Didcot,"TEC project-derived locality proxy; score 96.0/100; next-candidate margin 96.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Chiltern Connection Node B 400kV Substation,Natpower Basingstoke Green Energy Park,FLEET HAMPSHIRE ENERGY LIMITED,Energy Storage System,PRO-003746,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,69.2,,,Best candidate 'CHILTERN CL.' scored 69.2; below reliability threshold.
Chiltern Connection Node C 400kV Substation,BF88 Oakley | Ludgershall - Bicester Solar Farm PVDP,BLUEFIELD RENEWABLE DEVELOPMENTS LIMITED | SolarFour Ltd,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-004319 | PRO-004140,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,76.9,,,Best candidate 'CHILTERN CL.' scored 76.9; below reliability threshold.
Chiltern Connection Node D 400kV,Oxfordshire Energy Park | TH Didcot | West Oxfordshire Energy Park,Low Carbon Solar Park 40 Limited | FRV Powertek Limited | LOW CARBON SOLAR PARK 43 LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System,PRO-004076 | PRO-003426 | PRO-004296,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,69.2,,,Best candidate 'CHILTERN CL.' scored 69.2; below reliability threshold.
Chirk 132kV,Llyn Lort II Energy Park,Llyn Lort II Energy Park Limited,Wind Onshore,PRO-002697,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.932011,-3.056386,Chirk,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/27459591,OpenStreetMap named town: Chirk,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Chirk GSP,Blaen y Glyn | Bryn Tilti | Dolyfardyn | Llwynygog | Maesnant Energy Park | Moel y Llyn,BANC DU ENERGY PARK LIMITED | RHIWLAS ENERGY PARK LIMITED | Llyn Lort Energy Park Limited | ESGAIR GALED ENERGY PARK LIMITED | Maesnant Energy Park Limited | Waun Hesgog Energy Park Limited,Wind Onshore,PRO-001589 | PRO-001586 | PRO-001584 | PRO-001583 | PRO-001919 | PRO-001585,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,52.932011,-3.056386,Chirk,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/27459591,OpenStreetMap named town: Chirk,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Chirmorie Wind Farm substation,Chirmorie Wind Farm,CHIRMORIE WIND FARM LIMITED,Wind Onshore,PRO-000094-1,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.053739,-4.805389,Chirmorie,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/635813547,OpenStreetMap named hamlet: Chirmorie,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Chleansaid Wind Farm 132kV Substation,Chleansaid Wind Farm,ESB ASSET DEVELOPMENT UK LIMITED,Wind Onshore,PRO-001608,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,58.120361,-4.344434,Chleansaid Onshore Wind Farm,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 7711: Chleansaid Onshore Wind Farm; Dalnessie Estate, approximately 13 km northeast of Lairg; planning ref ECU00002031",TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Cilfynydd 400kV Substation,BESS Cilfynydd | Cilfynydd | Cilfynydd 2 | Cilfynydd BESS | Cilfynydd Green Energy Centre | Cilfynydd Grid Stability Services | Merthyr Solar and Battery | Penrhiwdarren Farm | Twyn Hywel Cillfynydd,REWE 2 LIMITED | ENSO GREEN HOLDINGS X LIMITED | REWE 8 LIMITED | Cilfynydd BESS Limited | CILFYNYDD NG LIMITED | CILFYNYDD GRID SERVICES LIMITED | EEW RENEWABLES LTD | QAIR RENEWABLES UK LIMITED | Twyn Hywel Energy Park Ltd,Energy Storage System | Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore | Demand;Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore | Reactive Compensation | PV Array (Photo Voltaic/solar) | Wind Onshore,PRO-002008 | PRO-002088 | PRO-003962 | PRO-002756 | PRO-001663-1 | PRO-001663-2 | PRO-002540 | PRO-002757-1 | PRO-002757-2 | PRO-003828 | PRO-001497,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.635838,-3.300098,CILFYNYDD 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CILFYNYDD 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Clachan 2 GSP,Creag Dhubh,MUIRDEN ENERGY LLP,Wind Onshore,PRO-004206,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.003958,-4.800939,Clachan Farm,Town/locality proxy,Low,96.0,https://www.openstreetmap.org/node/12256435607,OpenStreetMap named hamlet: Clachan Farm,"Town/locality proxy; score 96.0/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Clash Gour Wind Farm 132kV Substation,Clash Gour,CLASH GOUR WINDFARM HOLDINGS LIMITED,Energy Storage System;Wind Onshore,PRO-001022,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.722656,-3.064467,Clash,Town/locality proxy,Low,66.7,https://www.openstreetmap.org/node/5838315235,OpenStreetMap named locality: Clash,"Town/locality proxy; score 66.7/100; next-candidate margin 3.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Clashindarroch Substation,Clashindarroch,CLASHINDARROCH WIND FARM LIMITED,Wind Onshore,PRO-000040,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.362093,-2.963777,Clashindarroch Wind Farm,Exact normalized name,High,100.0,https://www.openstreetmap.org/relation/11567910,OpenStreetMap named plant feature: Clashindarroch Wind Farm,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Clashindarroch Windfarm Extension 132kV Substation,Clashindarroch Windfarm Extension,CLASHINDARROCH WINDFARM EXTENSION LIMITED,Wind Onshore,PRO-004769,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.362093,-2.963777,Clashindarroch Wind Farm,Exact normalized name,High,100.0,https://www.openstreetmap.org/relation/11567910,OpenStreetMap named plant feature: Clashindarroch Wind Farm,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Clauchrie 132/33KV Substation,Clauchrie Windfarm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Energy Storage System;Wind Onshore,PRO-001021,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.180487,-3.708109,Clauchrie,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/8177065597,OpenStreetMap named locality: Clauchrie,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Cleve Hill 400kV Substation,Cleve Hill Solar Park,CLEVE HILL SOLAR PARK LIMITED,Demand;Energy Storage System;PV Array (Photo Voltaic/solar),PRO-001097,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.338220,0.940473,CLEVE HILL 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; CLEVE HILL 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Cloich 132kV Substation,Cloich Forest Wind Farm | Cloiche Wind Farm,EDF ENERGY RENEWABLES LIMITED | SSE Generation Limited,Wind Onshore,PRO-001387 | PRO-000425,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.718792,-3.263968,Cloich Forest Wind Farm ,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 7582: Cloich Forest Wind Farm ; Land 5.5km north west of Peebles; planning ref ECU00003288,TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Clune 132/33 kV Substation,Clune Wind Farm,Renewable Energy Systems Limited,Energy Storage System;Wind Onshore,PRO-004620,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.342325,-4.002753,Clune Wind Farm - Wind Farm,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 15963: Clune Wind Farm - Wind Farm; 27km SE of Inverness 13km NW of Aviemore; planning ref ECU00005038,TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Clunie GSP,Clunie (part of the Clunie Cascade),SSE Generation Limited,Hydro,PRO-000072,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.717008,-3.783783,Clunie Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/247279711,OpenStreetMap named substation feature: Clunie Substation,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Clyde North 275/33kV,Clyde North,CLYDE WINDFARM (SCOTLAND) LIMITED,Wind Onshore,PRO-000095,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.465173,-3.603800,Clyde Wind Farm North Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/335589232,OpenStreetMap named substation feature: Clyde Wind Farm North Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Clyde South 275/33kV,Clyde South,CLYDE WINDFARM (SCOTLAND) LIMITED,Wind Onshore,PRO-000096,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.404654,-3.609036,Clyde Wind Farm South Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/472289073,OpenStreetMap named substation feature: Clyde Wind Farm South Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Clydesmill 275/33kV,AGS Calderside PV Solar | Aitkenhead Farm BESS | Gilbertfield Farm BESS,Advance Grid Solutions Limited | Aitkenhead Storage Facility Limited | GPC 678 LTD,PV Array (Photo Voltaic/solar) | Demand;Energy Storage System | Energy Storage System,PRO-004225 | PRO-002585 | PRO-003564,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.822850,-4.149291,Clyde's Mill Substation,Fuzzy infrastructure match,Medium,90.9,https://www.openstreetmap.org/way/119315549,OpenStreetMap named substation feature: Clyde's Mill Substation,Fuzzy infrastructure match; score 90.9/100; next-candidate margin 10.9. Coordinates represent the matched mapped feature.
Cnoc Buidhe 132kV/33kV Substation,Cnoc Buidhe Wind Farm,CNOC BUIDHE WIND ENERGY HUB LIMITED,Energy Storage System;Wind Onshore,PRO-001672-1 | PRO-001672-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.914416,-5.164485,Cnoc Buidhe,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/2467788238,OpenStreetMap named locality: Cnoc Buidhe,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Coachford 400kV Substation,Coachford 400MW BESS,Field Woodhead Ltd,Energy Storage System,PRO-005097,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.499628,-2.898852,Coachford,Geographic feature proxy,Low,100.0,https://www.openstreetmap.org/node/10417761371,OpenStreetMap/Photon geographic feature: Coachford; Aberdeenshire,"Geographic feature proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
