connection_site,assigned_charging_zone,basis,reason
Cwm Rheidol,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Daer Wind Farm 132/33kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Hopsrig Collector 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Navenby 132kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Gwyddelwern 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
DEUCHERAN HILL 2 132KV SUBSTATION,GZ7,project,Spatial point-in-polygon
DEWLEY HILL EHV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Divot Hill 132/33 kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Dogger Bank 220kV Offshores,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
DRUM OF CLUNAS WIND 275KV SUBSTATION,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Dunan Hill 400kV substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
East Kent connection node A 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Earba PSH Powerhouse Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Earl Shilton 275kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Earraghail 275/33KV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
East Anglia Project Three Offshore Platform,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
EA2A and EA2B 275/66kV Offshore Platform,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Lincolnshire Coastal Node B 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Mablethorpe 400kV Substation,GZ16,project,Spatial point-in-polygon
Ecomossmorran 400kV Substation,GZ9,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Mossmorran Storage BESS 132KV Substation)
Kelloe Mains 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Kellingley 400kV Substation,GZ15,project,Spatial point-in-polygon
