interconnectorId,interconnectorName,date,observations,mean_signed_mw,median_signed_mw,p10_signed_mw,p90_signed_mw,rolling_7d_mean_signed_mw,rolling_30d_mean_signed_mw,rolling_90d_mean_signed_mw,import_share_pct,export_share_pct,near_zero_share_pct,rolling_7d_import_share_pct,rolling_30d_import_share_pct,rolling_90d_import_share_pct,rolling_7d_export_share_pct,rolling_30d_export_share_pct,rolling_90d_export_share_pct,import_gwh,export_gwh,net_gwh,rolling_7d_import_gwh,rolling_30d_import_gwh,rolling_90d_import_gwh,rolling_7d_export_gwh,rolling_30d_export_gwh,rolling_90d_export_gwh,rolling_7d_net_gwh,rolling_30d_net_gwh,rolling_90d_net_gwh
INTNEM,Belgium (Nemolink),2025-05-19 00:00:00+00:00,48,-64.41666666666667,-542.0,-974.6,1016.6,43.67261904761915,246.10277777777776,288.4592592592592,45.83333333333333,54.166666666666664,0.0,54.761904761904766,66.38888888888889,66.55092592592592,44.642857142857146,33.05555555555556,32.5462962962963,9.039,10.585,-1.5459999999999998,59.55500000000001,307.458,990.816,52.217999999999996,130.264,367.74399999999997,7.337000000000006,177.194,623.072
INTNEM,Belgium (Nemolink),2025-05-20 00:00:00+00:00,48,174.25,347.0,-1022.0,1016.0,57.273809523809625,231.5125,289.1990740740741,58.333333333333336,41.66666666666667,0.0,55.35714285714286,65.13888888888889,66.7824074074074,44.345238095238095,34.30555555555556,32.5462962962963,11.114,6.932,4.182,61.294000000000004,303.748,996.4040000000001,51.672000000000004,137.059,371.73400000000004,9.622000000000007,166.689,624.67
INTNEM,Belgium (Nemolink),2025-05-21 00:00:00+00:00,48,56.375,-228.0,-855.2,1016.0,62.023809523809625,222.5111111111111,289.0018518518519,39.58333333333333,60.416666666666664,0.0,52.67857142857143,64.09722222222223,66.48148148148148,47.023809523809526,35.34722222222222,32.870370370370374,8.095,6.742,1.3530000000000002,61.919000000000004,302.634,997.6089999999999,51.499,142.426,373.365,10.420000000000007,160.208,624.2439999999999
INTNEM,Belgium (Nemolink),2025-05-22 00:00:00+00:00,48,803.125,973.0,240.0,998.0,147.02380952380963,255.66944444444442,297.53935185185185,100.0,0.0,0.0,58.03571428571429,66.04166666666667,66.94444444444444,41.66666666666667,33.40277777777778,32.407407407407405,19.275,0.0,19.275,69.93299999999999,316.08799999999997,1008.3040000000001,45.233,132.006,365.619,24.700000000000003,184.082,642.6850000000001
INTNEM,Belgium (Nemolink),2025-05-23 00:00:00+00:00,48,698.7916666666666,996.0,70.2,1016.0,232.6845238095239,283.4763888888889,301.4916666666667,91.66666666666666,8.333333333333332,0.0,61.904761904761905,67.43055555555556,67.17592592592592,38.095238095238095,32.013888888888886,32.175925925925924,18.02,1.249,16.771,79.324,328.42400000000004,1015.451,40.233000000000004,124.321,364.229,39.09100000000001,204.10299999999998,651.222
INTNEM,Belgium (Nemolink),2025-05-24 00:00:00+00:00,48,102.95833333333333,30.0,-548.4,655.2,235.01190476190484,286.80833333333334,305.75787037037037,54.166666666666664,45.83333333333333,0.0,62.202380952380956,67.43055555555556,67.45370370370371,37.797619047619044,32.083333333333336,31.89814814814815,5.892,3.4210000000000003,2.471,78.58300000000001,331.735,1017.8299999999999,39.101,125.233,357.393,39.482000000000006,206.50199999999998,660.437
INTNEM,Belgium (Nemolink),2025-05-25 00:00:00+00:00,48,-620.8333333333334,-868.0,-1022.0,96.40000000000003,164.32142857142867,262.13472222222225,296.93009259259264,16.666666666666664,83.33333333333334,0.0,58.03571428571429,66.18055555555556,66.89814814814815,41.964285714285715,33.33333333333333,32.4537037037037,0.825,15.725,-14.9,72.26,324.592,1008.97,44.654,135.85500000000002,367.601,27.606,188.73699999999997,641.369
INTNEM,Belgium (Nemolink),2025-05-26 00:00:00+00:00,48,-654.25,-882.0,-1022.0,-0.799999999999983,80.05952380952392,219.38888888888889,293.91527777777776,10.416666666666668,89.58333333333334,0.0,52.976190476190474,63.541666666666664,67.01388888888889,47.023809523809526,36.041666666666664,32.33796296296296,0.326,16.028,-15.702,63.54700000000001,309.373,1009.296,50.097,151.413,374.43899999999996,13.450000000000003,157.95999999999998,634.8570000000001
INTNEM,Belgium (Nemolink),2025-05-27 00:00:00+00:00,48,379.2083333333333,892.0,-1022.0,1016.0,109.33928571428581,228.96666666666667,298.1925925925926,70.83333333333334,29.166666666666668,0.0,54.761904761904766,64.23611111111111,67.17592592592592,45.23809523809524,35.34722222222222,32.175925925925924,15.475,6.3740000000000006,9.100999999999999,67.908,316.435,1020.4169999999999,49.539,151.579,376.321,18.369,164.85599999999997,644.096
INTNEM,Belgium (Nemolink),2025-05-28 00:00:00+00:00,48,678.1666666666666,964.0,6.200000000000001,1016.0,198.16666666666677,247.8388888888889,309.4268518518519,91.66666666666666,8.333333333333332,0.0,62.202380952380956,65.48611111111111,67.82407407407408,37.79761904761905,34.09722222222222,31.52777777777778,17.818,1.542,16.276,77.631,323.88899999999995,1036.392,44.339000000000006,145.445,368.03000000000003,33.292,178.444,668.362
