wind_metric,wind_metric_label,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,wind_bucket_observations,mean_wind_mw,min_wind_mw,max_wind_mw,direction_observations,direction_duration_hours,direction_share_pct,mean_level_mw,P0,P10,P20,P30,P40,P50,P60,P70,P75,P80,P85,P90,P95,P100
wind_actual_mw,Actual wind output,INTFR,France(IFA),highest_20pct,import,import_mw_conditional_on_importing,15710,12713.216694793125,10784.598000000004,17142.889999999996,9801,4900.5,62.38701464035646,1042.3020099989797,2.0,244.0,494.0,716.0,958.0,1004.0,1180.0,1490.0,1502.0,1506.0,1576.0,1880.0,2000.0,2630.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15710,12713.216694793125,10784.598000000004,17142.889999999996,5362,2681.0,34.13112667091025,737.3629242819843,2.0,128.0,296.0,442.0,518.0,712.0,906.0,1024.0,1028.0,1030.0,1032.0,1301.6000000000022,1726.0,2070.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),lowest_20pct,import,import_mw_conditional_on_importing,2314,1812.2626472774418,15.667399999999992,2829.543599999999,144,72.0,6.222990492653413,117.25,4.0,4.0,4.0,4.0,18.400000000000006,60.0,95.6,172.0,210.5,257.6,287.5,309.40000000000003,396.19999999999993,500.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,2314,1812.2626472774418,15.667399999999992,2829.543599999999,2155,1077.5,93.12878133102852,466.4603248259861,6.0,340.0,440.0,500.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,516.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),20_40pct,import,import_mw_conditional_on_importing,3202,3933.523303372892,2830.7489999999984,5018.335199999999,281,140.5,8.77576514678326,209.92170818505338,2.0,4.0,22.0,66.0,136.0,216.0,278.0,300.0,314.0,352.0,434.0,492.0,504.0,506.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,3202,3933.523303372892,2830.7489999999984,5018.335199999999,2861,1430.5,89.35040599625235,455.16602586508213,2.0,272.0,418.0,492.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,516.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),40_60pct,import,import_mw_conditional_on_importing,3458,6281.14910746096,5018.8512,7611.486599999997,440,220.0,12.724117987275882,273.7181818181818,2.0,40.0,81.20000000000005,172.79999999999995,200.0,261.0,306.79999999999995,398.5999999999999,440.5,492.8000000000002,504.0,504.0,506.0,506.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,3458,6281.14910746096,5018.8512,7611.486599999997,2968,1484.0,85.82995951417004,445.91711590296495,2.0,229.39999999999998,394.0,480.0,512.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,516.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),60_80pct,import,import_mw_conditional_on_importing,3180,9071.195174528302,7612.539400000001,10783.756000000001,423,211.5,13.30188679245283,276.43971631205676,2.0,56.400000000000006,99.60000000000002,186.0,200.0,250.0,310.4,398.0,433.0,478.0,496.0,504.0,504.0,506.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,3180,9071.195174528302,7612.539400000001,10783.756000000001,2695,1347.5,84.74842767295597,446.23450834879407,2.0,226.80000000000007,389.60000000000014,480.0,512.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,516.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),highest_20pct,import,import_mw_conditional_on_importing,3830,13079.995910652742,10784.7864,17142.889999999996,822,411.0,21.462140992167104,259.1362530413625,2.0,60.0,104.40000000000003,180.0,200.0,223.0,297.19999999999993,350.0,380.0,420.0,476.0,499.79999999999995,504.0,506.0
wind_actual_mw,Actual wind output,INTGRNL,Ireland (Greenlink),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,3830,13079.995910652742,10784.7864,17142.889999999996,2987,1493.5,77.98955613577023,421.6196853029796,4.0,182.0,300.0,404.0,492.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,516.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),lowest_20pct,import,import_mw_conditional_on_importing,15712,1651.2823973523423,-115.2388,2830.466,10671,5335.5,67.91624236252545,817.5535563677256,2.0,382.0,666.0,754.0,894.0,986.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,1156.0
wind_actual_mw,Actual wind output,INTIFA2,IFA2 (INTIFA2),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,1651.2823973523423,-115.2388,2830.466,5029,2514.5,32.00738289205703,456.16424736528137,2.0,2.0,2.0,4.0,138.4000000000001,376.0,609.5999999999995,872.0,972.0,1026.0,1028.0,1028.0,1030.0,1030.0
