interconnectorId,interconnectorName,wind_metric,wind_metric_label,flow_metric,flow_metric_label,wind_lag_hours,lag_interpretation,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,-0.056888160159063526,-0.07739046023874309,6736.157023379535,1728.8649,12507.000199999999,281.8068181818182,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,-0.1092241748865244,-0.1279129691775958,6734.535870621497,1727.9028000000003,12506.48420000001,281.91393275598574,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,-0.13156392212114473,-0.15237643248670973,6733.828084312127,1728.2382199999997,12506.127160000007,281.9479702541639,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,-0.14284341616308288,-0.16574307279380648,6733.491001695995,1728.27554,12505.747720000001,281.93144719753496,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,0,same half-hour,78544,-0.1487990559535037,-0.17278462828485563,6733.151311840497,1728.3227600000002,12505.551099999995,281.875050926869,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,78538,-0.14294436461657287,-0.1658460772901904,6732.698635098932,1728.27554,12504.319900000002,281.83551911176755,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,78532,-0.12597913774146643,-0.14694195082851091,6732.216536581266,1728.2382199999997,12503.143239999996,281.79470788977744,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,78520,-0.08300516318009334,-0.10076859790600723,6731.472160998473,1727.9028000000003,12502.725640000002,281.6898879266429,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,78496,-0.02886715605254244,-0.048129091932047646,6730.668547248267,1727.4746999999998,12503.378999999997,281.4872095393396,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,-0.04954983341739762,-0.07388732955720613,7434.781937060645,1736.4009999999998,14315.143833333303,281.8068181818182,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,-0.09722319529942927,-0.11952167632282122,7432.947246376876,1735.2858800000004,14314.435246666735,281.91393275598574,-966.0,992.0
INTIFA2,IFA2 (INTIFA2),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,-0.12589783277413644,-0.1484335998543733,7432.132740048801,1735.3412600000004,14314.239199999998,281.9479702541639,-966.0,992.0
