interconnectorId,interconnectorName,season,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTGRNL,Ireland (Greenlink),Autumn,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,91,-0.3656950862442085,-0.3933101083495986,9027.387808424908,3516.0007499999997,13712.877908333334,372.6011904761905,175.08333333333334,513.25
INTGRNL,Ireland (Greenlink),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,91,0.3765612593657371,0.43583872996723255,10519.502592139908,3516.0007499999997,16093.836241283456,-332.66483516483527,-513.25,-60.583333333333336
INTGRNL,Ireland (Greenlink),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,91,0.3157307252667217,0.44462186172227564,10519.502592139908,3516.0007499999997,16093.836241283456,39.9363553113553,0.0,128.625
INTGRNL,Ireland (Greenlink),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,91,-0.3806776343347883,-0.4127267337248405,10519.502592139908,3516.0007499999997,16093.836241283456,372.6011904761905,175.08333333333334,513.25
INTGRNL,Ireland (Greenlink),Spring,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,92,0.1497992378894923,0.26494713238405326,5870.822458057657,2577.2459799999997,10034.986397083332,-384.35629332073086,-513.6333333333333,-91.97916666666627
INTGRNL,Ireland (Greenlink),Spring,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,92,0.1621667677285966,0.25131770093858885,5870.822458057657,2577.2459799999997,10034.986397083332,20.348830340264648,0.0,62.6375
INTGRNL,Ireland (Greenlink),Spring,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,92,-0.13361086966068425,-0.2590731226407699,5870.822458057657,2577.2459799999997,10034.986397083332,404.7051236609956,217.87083333333334,513.6333333333333
INTGRNL,Ireland (Greenlink),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,92,0.17424070453895216,0.26504734514870243,6668.867285455874,2707.420915416674,12480.946191659987,-384.35629332073086,-513.6333333333333,-91.97916666666627
INTGRNL,Ireland (Greenlink),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,92,0.18427494397365968,0.24984485563577546,6668.867285455874,2707.420915416674,12480.946191659987,20.348830340264648,0.0,62.6375
INTGRNL,Ireland (Greenlink),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,92,-0.15686614892385614,-0.260175463051911,6668.867285455874,2707.420915416674,12480.946191659987,404.7051236609956,217.87083333333334,513.6333333333333
