interconnectorId,interconnectorName,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTELEC,Eleclink (INTELEC),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1317,-0.05611239882676923,-0.11744552429276942,6918.696867204385,2399.0256750000003,12231.077812500002,372.28551270758743,-686.0166666666667,994.1
INTELEC,Eleclink (INTELEC),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1317,-0.0966661096605772,-0.11993576967066243,6918.696867204385,2399.0256750000003,12231.077812500002,515.8497601925624,0.0,994.1
INTELEC,Eleclink (INTELEC),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1317,-0.014781626923301313,0.11160536683659629,6918.696867204385,2399.0256750000003,12231.077812500002,143.56424748497494,0.0,688.0000000000001
INTELEC,Eleclink (INTELEC),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1317,-0.04983472596025219,-0.11429458322025368,7690.525049990868,2457.636701666667,14009.23883821797,372.28551270758743,-686.0166666666667,994.1
INTELEC,Eleclink (INTELEC),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1317,-0.10288994730722849,-0.12190072377719413,7690.525049990868,2457.636701666667,14009.23883821797,515.8497601925624,0.0,994.1
INTELEC,Eleclink (INTELEC),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1317,-0.036600618357743926,0.09649845907324937,7690.525049990868,2457.636701666667,14009.23883821797,143.56424748497494,0.0,688.0000000000001
INTEW,Ireland(East-West),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,0.11586927139230023,0.113040731041559,6730.680855495117,2105.5563125000003,11988.731495833334,-144.0317552791351,-458.8583333333333,129.7583333333334
INTEW,Ireland(East-West),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,0.12186923426680113,0.2225827363366003,6730.680855495117,2105.5563125000003,11988.731495833334,42.46170776327004,0.0,157.8666666666667
INTEW,Ireland(East-West),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,-0.09013999545649441,-0.05583243181310209,6730.680855495117,2105.5563125000003,11988.731495833334,186.49346304240515,0.0,458.85833333333335
INTEW,Ireland(East-West),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,0.10070467680065016,0.10027117849050357,7428.945709037391,2148.347972638889,13562.23134998643,-144.0317552791351,-458.8583333333333,129.7583333333334
INTEW,Ireland(East-West),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,0.11167822054674331,0.21406926956244782,7428.945709037391,2148.347972638889,13562.23134998643,42.46170776327004,0.0,157.8666666666667
INTEW,Ireland(East-West),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,-0.07560482311869499,-0.04402127153627644,7428.945709037391,2148.347972638889,13562.23134998643,186.49346304240515,0.0,458.85833333333335
INTFR,France(IFA),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,-0.16503681574111434,-0.18277188594327978,6730.680855495117,2105.5563125000003,11988.731495833334,665.6211408869593,-617.7583333333333,1771.8083333333334
INTFR,France(IFA),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,1644,-0.1624565247714448,-0.1536099508551753,6730.680855495117,2105.5563125000003,11988.731495833334,838.8752709983918,0.0,1771.8083333333334
INTFR,France(IFA),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,1644,0.12788587816298283,0.23158815613122555,6730.680855495117,2105.5563125000003,11988.731495833334,173.25413011143235,0.0,672.5541666666668
INTFR,France(IFA),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,1644,-0.15403436977188056,-0.17331990680051226,7428.945709037391,2148.347972638889,13562.23134998643,665.6211408869593,-617.7583333333333,1771.8083333333334
INTFR,France(IFA),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,1644,-0.15347693713789043,-0.14355529323822352,7428.945709037391,2148.347972638889,13562.23134998643,838.8752709983918,0.0,1771.8083333333334
INTFR,France(IFA),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,1644,0.11525323200674403,0.2256271964183803,7428.945709037391,2148.347972638889,13562.23134998643,173.25413011143235,0.0,672.5541666666668
INTGRNL,Ireland (Greenlink),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,336,0.3106211297886181,0.35128703441309106,7327.788337201301,2792.5440479166664,12589.750422916666,-348.9528392425811,-512.4166666666667,-65.79166666666667
INTGRNL,Ireland (Greenlink),daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,336,0.2888514283414123,0.40197597275889163,7327.788337201301,2792.5440479166664,12589.750422916666,32.63841981538993,0.0,117.72916666666666
INTGRNL,Ireland (Greenlink),daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,336,-0.29425339199232986,-0.33417486300933824,7327.788337201301,2792.5440479166664,12589.750422916666,381.591259057971,159.5625,512.4166666666667
INTGRNL,Ireland (Greenlink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,336,0.3480517001870894,0.3774057687229522,8502.510900585019,2851.5372430555544,15411.774769824719,-348.9528392425811,-512.4166666666667,-65.79166666666667
INTGRNL,Ireland (Greenlink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,336,0.33159686118818965,0.42329244382206815,8502.510900585019,2851.5372430555544,15411.774769824719,32.63841981538993,0.0,117.72916666666666
INTGRNL,Ireland (Greenlink),daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,336,-0.3259117740068358,-0.3583208488365082,8502.510900585019,2851.5372430555544,15411.774769824719,381.591259057971,159.5625,512.4166666666667
INTIFA2,IFA2 (INTIFA2),daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,1644,-0.13662064754738154,-0.18345451800208676,6730.680855495117,2105.5563125000003,11988.731495833334,281.2472701407547,-758.5166666666665,975.0416666666666
