wind_metric,wind_metric_label,aggregation_level,interconnectorId,interconnectorName,low_wind_bucket,high_wind_bucket,low_observations,high_observations,low_mean_wind_mw,high_mean_wind_mw,low_mean_signed_mw,high_mean_signed_mw,low_median_signed_mw,high_median_signed_mw,low_mean_import_mw,high_mean_import_mw,low_mean_export_mw,high_mean_export_mw,low_net_gwh,high_net_gwh,low_import_half_hours,high_import_half_hours,low_export_half_hours,high_export_half_hours,low_near_zero_half_hours,high_near_zero_half_hours,low_import_share_pct,high_import_share_pct,low_export_share_pct,high_export_share_pct,low_near_zero_share_pct,high_near_zero_share_pct,mean_signed_mw_delta_low_minus_high,mean_signed_mw_delta_high_minus_low,mean_export_mw_delta_low_minus_high,export_share_pct_delta_low_minus_high,mean_import_mw_delta_low_minus_high,import_share_pct_delta_low_minus_high,low_wind_has_higher_export_share,low_wind_is_more_export_or_less_import_signed_mw
wind_actual_mw,Actual wind output,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,highest_20pct,15712,15710,1651.282397352342,12713.216694793125,2916.7809317718943,1597.0171865054106,3684.0,1801.0,3311.9643584521386,2300.727943984723,395.1834266802444,703.7107574793125,22914.231,12544.57,12931,10810,2776,4894,5,6,82.30015274949083,68.80967536600892,17.668024439918533,31.152132399745387,0.03182281059063136,0.03819223424570337,1319.7637452664837,-1319.7637452664837,-308.5273307990681,-13.484107959826854,1011.2364144674157,13.490477383481917,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTELEC,Eleclink (INTELEC),lowest_20pct,highest_20pct,11331,13594,1744.1608888458488,14857.147664103326,391.52219574618306,266.00588494924233,736.0,216.0,544.7235018974495,410.183169045167,153.20130615126644,144.17728409592468,2218.169,1808.042,7300,7796,2571,3270,1460,2528,64.42502868237578,57.34883036633809,22.68996558114906,24.054730027953507,12.885005736475158,18.5964396057084,125.51631079694073,-125.51631079694073,9.02402205534176,-1.3647644468044469,134.54033285228252,7.07619831603769,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTEW,Ireland(East-West),lowest_20pct,highest_20pct,15712,15710,1666.26861771336,14657.12997007133,-156.96614052953157,-107.36499045194144,-35.0,0.0,32.05982688391039,57.69535327816677,189.02596741344195,165.0603437301082,-1233.126,-843.3520000000001,2170,3765,8487,7656,5055,4289,13.81109979633401,23.96562698917887,54.016038696537684,48.733290897517506,32.17286150712831,27.301082113303625,-49.601150077590134,49.601150077590134,23.965623683333746,5.2827477990201785,-25.63552639425638,-10.154527192844858,True,True
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTFR,France(IFA),lowest_20pct,highest_20pct,15712,15710,1666.26861771336,14657.12997007133,832.3792006109979,383.3492043284532,1002.0,453.0,969.5176934826884,639.3304901336728,137.13849287169043,255.9812858052196,6539.171,3011.208,11698,9707,3383,5501,631,502,74.45264765784114,61.788669637173776,21.531313645621182,35.01591343093571,4.016038696537678,3.1954169318905157,449.02999628254474,-449.02999628254474,-118.84279293352918,-13.48459978531453,330.1872033490156,12.663978020667365,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTGRNL,Ireland (Greenlink),lowest_20pct,highest_20pct,2288,4198,1829.3730878551135,15562.838811667118,-424.25174825174827,-261.1948546927108,-514.0,-444.0,7.851398601398602,60.966650786088614,432.1031468531468,322.1615054787994,-485.344,-548.248,155,939,2123,3216,10,43,6.774475524475525,22.36779418770843,92.78846153846155,76.60790852787042,0.4370629370629371,1.024297284421153,-163.05689355903746,163.05689355903746,109.9416413743474,16.180553010591126,-53.115252184690014,-15.593318663232905,True,True
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTIFA2,IFA2 (INTIFA2),lowest_20pct,highest_20pct,15712,15710,1666.26861771336,14657.12997007133,407.90185845213847,111.39452577975811,712.0,-2.0,554.7894602851323,323.6549968173138,146.88760183299388,212.2604710375557,3204.477,875.004,10678,7349,5022,8341,12,20,67.96079429735235,46.77912157861235,31.962830957230143,53.09357097390197,0.07637474541751527,0.1273074474856779,296.50733267238036,-296.50733267238036,-65.37286920456182,-21.130740016671826,231.13446346781853,21.181672718740003,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTIRL,Northern Ireland(Moyle),lowest_20pct,highest_20pct,15712,15710,1666.26861771336,14657.12997007133,-205.3841649694501,-112.99974538510503,-278.0,-156.0,39.651985743380855,82.02507956715468,245.03615071283096,195.0248249522597,-1613.498,-887.613,3400,5412,11381,9687,931,611,21.63951120162933,34.44939528962444,72.43508146639512,61.6613621896881,5.92540733197556,3.88924252068746,-92.38441958434507,92.38441958434507,50.01132576057125,10.77371927670702,-42.37309382377382,-12.809884087995112,True,True
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTNED,Netherlands(BritNed),lowest_20pct,highest_20pct,15712,15710,1666.26861771336,14657.12997007133,365.21283095723015,74.68682367918524,566.0,0.0,517.4647403258656,341.3028644175684,152.25190936863544,266.6160407383832,2869.112,586.665,10554,7643,3750,6190,1408,1877,67.17158859470469,48.65054105665181,23.867107942973522,39.401654996817314,8.961303462321792,11.947803946530872,290.5260072780449,-290.5260072780449,-114.36413136974778,-15.534547053843792,176.1618759082972,18.521047538052876,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTNEM,Belgium (Nemolink),lowest_20pct,highest_20pct,15712,15710,1666.26861771336,14657.12997007133,468.7899694501018,159.68771483131763,740.0,228.0,589.1220723014256,391.73036282622536,120.33210285132382,232.0426479949077,3682.814,1254.347,12092,9157,3372,6092,248,461,76.9602851323829,58.28771483131763,21.461303462321794,38.77784850413749,1.5784114052953158,2.934436664544876,309.1022546187842,-309.1022546187842,-111.71054514358387,-17.316545041815694,197.3917094752003,18.672570301065264,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTNSL,North Sea Link (INTNSL),lowest_20pct,highest_20pct,13317,15684,1715.6926516116478,14660.497290348165,968.601787189307,574.9734761540424,1298.0,698.0,1010.2721333633701,730.881662841112,41.670346174063226,155.90818668706962,6449.435,4508.942,11861,11586,1332,3580,124,518,89.06660659307651,73.87146136189747,10.002252759630547,22.825809742412652,0.9311406472929339,3.302728895689875,393.6283110352646,-393.6283110352646,-114.23784051300639,-12.823556982782105,279.39047052225817,15.19514523117904,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,interconnector,INTVKL,Denmark (Viking link),lowest_20pct,highest_20pct,5436,8690,1776.5951910455499,15113.54079813331,454.3708609271523,323.5081703107019,698.0,456.0,597.3351729212657,567.2255466052934,142.96431199411333,243.71737629459147,1234.98,1405.643,3821,5263,1295,2947,320,480,70.2906548933039,60.5638665132336,23.822663723325974,33.912543153049484,5.886681383370125,5.523590333716916,130.86269061645038,-130.86269061645038,-100.75306430047814,-10.08987942972351,30.109626315972264,9.726788380070296,False,False
wind_before_curtailment_mw,Wind before curtailment proxy,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,highest_20pct,15712,15710,1666.26861771336,14657.12997007133,2910.665733197556,1422.1054105665182,3685.0,1556.0,3308.563900203666,2142.1639719923614,397.89816700611,720.0585614258434,22866.19,11170.638,12923,10565,2784,5140,5,5,82.24923625254583,67.25015913430936,17.718940936863543,32.71801400381922,0.03182281059063136,0.031826861871419476,1488.560322631038,-1488.560322631038,-322.16039441973345,-14.999073066955678,1166.3999282113045,14.999077118236471,False,False
