interconnectorId,interconnectorName,date,observations,signed_mw,import_mw,export_mw,import_gwh,export_gwh,net_gwh,wind_actual_mw,wind_before_curtailment_mw,wind_curtailment_proxy_mw,startTime,year,month,month_name,calendar_month,day_of_week,day_name,hour_utc,season,season_year,direction_state
INTELEC,Eleclink (INTELEC),2023-04-11 00:00:00+00:00,48,8.0,291.5416666666667,283.5416666666667,6.997,6.805,0.19200000000000006,10756.451929166667,13201.245626055483,2444.7936968888166,2023-04-11 00:00:00+00:00,2023,4,April,2023-04,1,Tuesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-12 00:00:00+00:00,48,76.95833333333333,292.0,215.04166666666666,7.008,5.1610000000000005,1.847,10507.346662500002,13213.210858736553,2705.8641962365523,2023-04-12 00:00:00+00:00,2023,4,April,2023-04,2,Wednesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-13 00:00:00+00:00,48,-355.4583333333333,25.708333333333332,381.1666666666667,0.617,9.148,-8.531,9056.430166666667,9440.599770307874,384.1696036412077,2023-04-13 00:00:00+00:00,2023,4,April,2023-04,3,Thursday,0.0,Spring,2023,export
INTELEC,Eleclink (INTELEC),2023-04-14 00:00:00+00:00,48,30.666666666666668,141.83333333333334,111.16666666666667,3.404,2.668,0.736,2689.961658333333,2693.9540194444457,3.9923611111125203,2023-04-14 00:00:00+00:00,2023,4,April,2023-04,4,Friday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-15 00:00:00+00:00,48,695.9166666666666,695.9166666666666,0.0,16.702,0.0,16.702,2385.631116666667,2442.8572624999965,57.226145833329774,2023-04-15 00:00:00+00:00,2023,4,April,2023-04,5,Saturday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-16 00:00:00+00:00,48,452.125,474.5833333333333,22.458333333333332,11.39,0.539,10.851,2209.13815,2328.631761145844,119.49361114584377,2023-04-16 00:00:00+00:00,2023,4,April,2023-04,6,Sunday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-17 00:00:00+00:00,48,-17.625,156.95833333333334,174.58333333333334,3.767,4.19,-0.4230000000000001,2255.4703541666668,2255.4703541666668,0.0,2023-04-17 00:00:00+00:00,2023,4,April,2023-04,0,Monday,0.0,Spring,2023,export
INTELEC,Eleclink (INTELEC),2023-04-18 00:00:00+00:00,48,191.66666666666666,267.5,75.83333333333333,6.42,1.82,4.6000000000000005,7773.284041666669,7784.709122685187,11.42508101851873,2023-04-18 00:00:00+00:00,2023,4,April,2023-04,1,Tuesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-19 00:00:00+00:00,48,493.5833333333333,495.9166666666667,2.3333333333333335,11.902000000000001,0.056,11.846,9583.863,9932.488113814508,348.62511381450923,2023-04-19 00:00:00+00:00,2023,4,April,2023-04,2,Wednesday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-20 00:00:00+00:00,48,49.875,153.54166666666666,103.66666666666667,3.685,2.488,1.197,8218.460770833333,8222.216025462962,3.755254629628761,2023-04-20 00:00:00+00:00,2023,4,April,2023-04,3,Thursday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-21 00:00:00+00:00,48,143.75,269.25,125.5,6.462,3.012,3.45,6534.758058333334,6979.848949701986,445.0908913686524,2023-04-21 00:00:00+00:00,2023,4,April,2023-04,4,Friday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-22 00:00:00+00:00,48,820.0416666666666,820.0416666666666,0.0,19.681,0.0,19.681,4095.276895833333,4096.791872685184,1.514976851850444,2023-04-22 00:00:00+00:00,2023,4,April,2023-04,5,Saturday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-23 00:00:00+00:00,48,863.5833333333334,863.5833333333334,0.0,20.726,0.0,20.726,6009.059700000001,6668.880493981476,659.8207939814765,2023-04-23 00:00:00+00:00,2023,4,April,2023-04,6,Sunday,0.0,Spring,2023,import
INTELEC,Eleclink (INTELEC),2023-04-24 00:00:00+00:00,48,480.5833333333333,488.0833333333333,7.5,11.714,0.18,11.534,7371.517341666666,7760.4386454475,388.9213037808341,2023-04-24 00:00:00+00:00,2023,4,April,2023-04,0,Monday,0.0,Spring,2023,import
