wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,observations,mean_wind_mw,min_wind_mw,max_wind_mw,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTGRNL,Ireland (Greenlink),20_40pct,711,2778.232794530002,1989.6748000000011,3500.3542000000016,-425.25457102672294,-514.0,8.123769338959212,433.37834036568216,-151.178,30,677,4,4.219409282700422,95.21800281293952,0.5625879043600562
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTGRNL,Ireland (Greenlink),40_60pct,878,4369.068922326649,3500.7372,5425.185266666606,-404.49658314350796,-514.0,10.82004555808656,415.31662870159454,-177.574,53,818,7,6.0364464692482915,93.16628701594533,0.7972665148063782
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTGRNL,Ireland (Greenlink),60_80pct,933,6639.100886830489,5425.821599999999,8309.374599999997,-385.17899249732045,-514.0,19.607717041800644,404.7867095391211,-179.686,74,850,9,7.931404072883172,91.10396570203643,0.964630225080386
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTGRNL,Ireland (Greenlink),highest_20pct,1341,12583.190373108904,8318.5068666666,18984.820333332627,-313.6793437733035,-494.0,41.81357196122297,355.4929157345265,-210.322,194,1135,12,14.466815809097689,84.63832960477255,0.8948545861297539
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIFA2,IFA2 (INTIFA2),lowest_20pct,4100,1101.5953890956641,-54.174,1988.8760000000009,391.5170731707317,704.0,553.9526829268293,162.43560975609756,802.61,2793,1305,2,68.1219512195122,31.829268292682926,0.04878048780487805
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIFA2,IFA2 (INTIFA2),20_40pct,4096,2741.9211461762147,1989.6748000000011,3500.3542000000016,349.2294921875,700.0,535.09716796875,185.86767578125,715.222,2753,1338,5,67.2119140625,32.666015625,0.1220703125
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIFA2,IFA2 (INTIFA2),40_60pct,4098,4384.796423959173,3500.7300000000014,5425.185266666606,390.3850658857979,704.0,563.4089799902391,173.0239141044412,799.899,2831,1264,3,69.08247925817473,30.84431429965837,0.07320644216691069
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIFA2,IFA2 (INTIFA2),60_80pct,4099,6697.3988529062735,5425.821599999999,8314.965999999999,337.69163210539153,588.0,499.55159795071967,161.85996584532813,692.099,2692,1406,1,65.67455476945597,34.30104903635033,0.02439619419370578
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIFA2,IFA2 (INTIFA2),highest_20pct,4099,11461.488311602454,8315.280000000002,18984.820333332627,162.81678458160528,142.0,371.35398877775066,208.5372041961454,333.693,2240,1857,2,54.64747499390094,45.30373261771164,0.04879238838741156
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIRL,Northern Ireland(Moyle),lowest_20pct,4100,1101.5953890956641,-54.174,1988.8760000000009,-212.53268292682927,-256.0,28.298048780487804,240.83073170731709,-435.692,769,2897,434,18.75609756097561,70.65853658536585,10.585365853658537
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIRL,Northern Ireland(Moyle),20_40pct,4096,2741.9211461762147,1989.6748000000011,3500.3542000000016,-193.927734375,-230.0,25.81201171875,219.73974609375,-397.164,703,2827,566,17.1630859375,69.0185546875,13.818359375
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIRL,Northern Ireland(Moyle),40_60pct,4098,4384.796423959173,3500.7300000000014,5425.185266666606,-229.65056124938994,-302.0,21.308443142996584,250.95900439238653,-470.55400000000003,533,2994,571,13.006344558321132,73.06002928257686,13.933626159102
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIRL,Northern Ireland(Moyle),60_80pct,4099,6697.3988529062735,5425.821599999999,8314.965999999999,-194.2376189314467,-264.0,35.90875823371554,230.14637716516222,-398.09000000000003,718,2788,593,17.516467431080752,68.01658941205172,14.46694315686753
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTIRL,Northern Ireland(Moyle),highest_20pct,4099,11461.488311602454,8315.280000000002,18984.820333332627,-192.71188094657234,-276.0,40.042937301780924,232.75481824835325,-394.963,831,2828,440,20.273237374969504,68.99243717979995,10.734325445230544
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNED,Netherlands(BritNed),lowest_20pct,4100,1101.5953890956641,-54.174,1988.8760000000009,423.86731707317074,707.0,554.4629268292683,130.59560975609756,868.928,2859,828,413,69.73170731707316,20.195121951219512,10.073170731707318
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNED,Netherlands(BritNed),20_40pct,4096,2741.9211461762147,1989.6748000000011,3500.3542000000016,231.4619140625,340.0,429.0966796875,197.634765625,474.034,2376,1266,454,58.0078125,30.908203125,11.083984375
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNED,Netherlands(BritNed),40_60pct,4098,4384.796423959173,3500.7300000000014,5425.185266666606,187.2776964372865,171.0,397.8555392874573,210.5778428501708,383.732,2202,1304,592,53.733528550512446,31.82040019521718,14.446071254270375
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNED,Netherlands(BritNed),60_80pct,4099,6697.3988529062735,5425.821599999999,8314.965999999999,15.515003659429128,0.0,323.7477433520371,308.23273969260794,31.798,1849,1761,489,45.10856306416199,42.96169797511588,11.929738960722128
wind_before_curtailment_mw,Wind before curtailment proxy,Summer,INTNED,Netherlands(BritNed),highest_20pct,4099,11461.488311602454,8315.280000000002,18984.820333332627,-228.23420346425956,-308.0,199.4437667723835,427.6779702366431,-467.766,1232,2359,508,30.05611124664552,57.55062210295194,12.393266650402538
