wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,wind_bucket_observations,direction_observations,direction_share_pct,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,old_summary_mean_level_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_wind_mw,min_wind_mw,max_wind_mw,mean_level_mw,median_level_mw,min_level_mw,max_level_mw,mode_bin_lower_mw,mode_bin_upper_mw,most_probable_level_mw,mode_bin_count,mode_bin_probability_pct,mode_pdf_density_per_mw
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15712,11720,74.59266802443992,835.0773930753564,1002.0,971.6796079429736,136.6022148676171,971.6796079429736,6560.368,11720,3374,618,74.59266802443992,21.474032586558046,3.9332993890020367,1651.2823973523425,-115.2388,2830.466,1302.6476109215016,1358.0,2.0,2548.0,2000.0,2100.0,2050.0,2613.0,22.295221843003414,0.0022295221843003413
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15712,3374,21.474032586558046,835.0773930753564,1002.0,971.6796079429736,136.6022148676171,136.6022148676171,6560.368,11720,3374,618,74.59266802443992,21.474032586558046,3.9332993890020367,1651.2823973523425,-115.2388,2830.466,636.127445168939,691.0,2.0,1842.0,1000.0,1100.0,1050.0,937.0,27.771191464137523,0.0027771191464137524
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),20_40pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15705,11926,75.9375994906081,840.0096784463547,1002.0,970.0550143266476,130.0453358802929,970.0550143266476,6596.1759999999995,11926,3110,669,75.9375994906081,19.802610633556192,4.259789875835721,3893.593370518943,2830.6159999999995,5018.745599999998,1277.437028341439,1340.0,2.0,2174.0,2000.0,2100.0,2050.0,1954.0,16.38437028341439,0.001638437028341439
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15705,3110,19.802610633556192,840.0096784463547,1002.0,970.0550143266476,130.0453358802929,130.0453358802929,6596.1759999999995,11926,3110,669,75.9375994906081,19.802610633556192,4.259789875835721,3893.593370518943,2830.6159999999995,5018.745599999998,656.708038585209,696.0,2.0,2056.0,1000.0,1100.0,1050.0,765.0,24.59807073954984,0.002459807073954984
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),40_60pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15712,11186,71.1939918533605,712.4862525458249,996.0,866.9873981670061,154.50114562118125,866.9873981670061,5597.292,11186,3816,710,71.1939918533605,24.287169042769857,4.518839103869654,6261.010603245926,5018.818,7611.486599999997,1217.7816913999643,1216.0,2.0,2094.0,1000.0,1100.0,1050.0,1738.0,15.537278741283748,0.0015537278741283747
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15712,3816,24.287169042769857,712.4862525458249,996.0,866.9873981670061,154.50114562118125,154.50114562118125,5597.292,11186,3816,710,71.1939918533605,24.287169042769857,4.518839103869654,6261.010603245926,5018.818,7611.486599999997,636.1430817610063,674.0,2.0,2056.0,1000.0,1100.0,1050.0,906.0,23.742138364779876,0.0023742138364779876
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),60_80pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15705,10335,65.80706781279846,541.7837631327602,708.0,734.9633874562242,193.17962432346386,734.9633874562242,4254.357000000001,10335,4710,660,65.80706781279846,29.990448901623683,4.202483285577841,9147.22514184018,7611.787199999998,10784.568000000005,1116.8456700532172,1006.0,2.0,2142.0,1000.0,1100.0,1050.0,1475.0,14.271891630382196,0.0014271891630382198
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15705,4710,29.990448901623683,541.7837631327602,708.0,734.9633874562242,193.17962432346386,193.17962432346386,4254.357000000001,10335,4710,660,65.80706781279846,29.990448901623683,4.202483285577841,9147.22514184018,7611.787199999998,10784.568000000005,644.1371549893843,641.0,2.0,2072.0,1000.0,1100.0,1050.0,1073.0,22.78131634819533,0.002278131634819533
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),highest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15710,9801,62.38701464035646,398.59083386378103,490.0,650.2611075747931,251.6702737110121,650.2611075747931,3130.9309999999996,9801,5362,547,62.38701464035646,34.13112667091025,3.4818586887332907,12713.216694793125,10784.598000000004,17142.889999999996,1042.3020099989797,1004.0,2.0,2630.0,1500.0,1600.0,1550.0,1376.0,14.039383736353434,0.0014039383736353433
wind_actual_mw,Actual wind output,All,INTFR,France(IFA),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15710,5362,34.13112667091025,398.59083386378103,490.0,650.2611075747931,251.6702737110121,251.6702737110121,3130.9309999999996,9801,5362,547,62.38701464035646,34.13112667091025,3.4818586887332907,12713.216694793125,10784.598000000004,17142.889999999996,737.3629242819843,712.0,2.0,2070.0,1000.0,1100.0,1050.0,1124.0,20.962327489742634,0.002096232748974263
