bm_unit_id,rows_in_requested_window,first_startTime,last_startTime,total_actual_mwh,total_before_curtailment_mwh
E_GRGRW-1,47810,2023-04-02 23:00:00+00:00,2025-12-31 23:30:00+00:00,191723.5902,265574.49620138924
E_HBHDW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,535334.1995999999,535334.1995999999
E_HLGLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,203867.0687,204054.8480888889
E_HLTWW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,435233.6974,466787.85273166635
E_HRHLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,290404.7078,318375.44413333386
E_HYWDW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,521338.56750000006,521541.91266666667
E_KHLLW-1,29810,2024-04-14 23:00:00+00:00,2025-12-31 23:30:00+00:00,85299.03,85299.03
E_KINCW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,595991.3715,595991.3715
E_MINSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,351180.8092,374266.1349142859
E_MOYEW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,426578.8137,518803.63817319507
E_PIBUW-1,32016,2024-02-29 00:00:00+00:00,2025-12-31 23:30:00+00:00,111056.2626,111056.2626
E_SWBKW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,371206.23970000003,371212.87270000007
E_TLYMW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,112468.4921,114014.87421111114
E_TULWW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,155330.2366,166105.56748888892
E_TULWW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,200163.67489999998,230869.9670633332
T_ABRBO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1250818.5887000002,1252841.7710333331
T_ACHRW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,397052.012,398811.73494444427
T_AFTOW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,580889.7511,583679.4321000003
T_AKGLW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,865856.7649,1001985.4526936507
T_AKGLW-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,766457.6505,1053023.7254590772
T_ANSUW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,189352.8229,189436.6559
T_ARCHW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,797690.7864999999,851399.6008350013
T_BDCHW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,287410.0796,363911.95093333325
T_BEATO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1867659.8079,2053283.0182355563
T_BEATO-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1853860.9013,2037575.2401542363
T_BEATO-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2524101.6182000004,2813944.308063819
T_BEATO-4,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2528235.9127,2812132.2090568054
T_BEINW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1056132.3413,1077730.8098011576
T_BENBW-1,5858,2025-08-31 23:00:00+00:00,2025-12-31 23:30:00+00:00,40814.615099999995,50659.49509999977
T_BHLAW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,860010.9247999999,1296139.587500445
T_BLKWW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,641676.4079,650440.7997333334
T_BLLA-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,862217.8596,904860.8312720831
T_BLLA-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,472460.3027,510828.38586812565
T_BOWLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1049095.9719,1067779.8893972584
T_BRBEO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,3849862.9646,3859245.334266667
T_BROCW-1,36048,2023-12-07 00:00:00+00:00,2025-12-31 23:30:00+00:00,105068.25650000002,139346.86483333324
T_CGTHW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,638750.0636,848976.7523621805
T_CLDCW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2180896.1629,2380686.8902090285
T_CLDNW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,2347614.4923,2577914.8453371646
T_CLDSW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1393641.296,1494307.4890338199
T_COUWW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,298068.12490000005,298376.8419
T_CRDEW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,233215.87,302673.29566666705
T_CRDEW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,218287.451,287424.73666666704
T_CREAW-1,55874,2022-10-16 23:00:00+00:00,2025-12-31 23:30:00+00:00,382559.6283,578536.0916776266
T_CRGHW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,488273.3128,552374.5008555553
T_CRMLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,310432.38399999996,455240.1599924449
T_CRYRW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1383521.8002,1530255.1304777772
T_CRYRW-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,173333.43450000003,184813.76127777778
T_CRYRW-4,3362,2025-10-22 23:00:00+00:00,2025-12-31 23:30:00+00:00,584.0143,584.0143
T_CUMHW-1,53664,2022-12-02 00:00:00+00:00,2025-12-31 23:30:00+00:00,330811.586,413129.8499982155
T_CUMHW-2,1632,2025-11-28 00:00:00+00:00,2025-12-31 23:30:00+00:00,0.0,0.0
T_DALQW-1,59474,2022-08-02 23:00:00+00:00,2025-12-31 23:30:00+00:00,260446.2253,300828.525966667
T_DBAWO-1,43634,2023-06-28 23:00:00+00:00,2025-12-31 23:30:00+00:00,456352.7349999999,456352.7349999999
T_DBAWO-2,43634,2023-06-28 23:00:00+00:00,2025-12-31 23:30:00+00:00,368158.92,368158.92
T_DBAWO-3,43634,2023-06-28 23:00:00+00:00,2025-12-31 23:30:00+00:00,498172.09,498172.09
T_DBAWO-4,43634,2023-06-28 23:00:00+00:00,2025-12-31 23:30:00+00:00,17594.6,17594.6
T_DBAWO-5,43634,2023-06-28 23:00:00+00:00,2025-12-31 23:30:00+00:00,152590.84000000003,152590.84000000003
T_DBBWO-1,26642,2024-06-19 23:00:00+00:00,2025-12-31 23:30:00+00:00,0.0,0.0
T_DBBWO-2,26642,2024-06-19 23:00:00+00:00,2025-12-31 23:30:00+00:00,0.0,0.0
T_DBBWO-3,26642,2024-06-19 23:00:00+00:00,2025-12-31 23:30:00+00:00,0.0,0.0
T_DBBWO-4,26642,2024-06-19 23:00:00+00:00,2025-12-31 23:30:00+00:00,0.0,0.0
T_DBBWO-5,26642,2024-06-19 23:00:00+00:00,2025-12-31 23:30:00+00:00,0.0,0.0
T_DDGNO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1954742.0214,1954975.3297333333
T_DDGNO-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1589639.0387000002,1589851.9800333334
T_DDGNO-3,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1824357.3849999998,1824516.4862592593
T_DDGNO-4,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1838106.6267,1838219.9930333334
T_DNLWW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,250389.9695,257301.3781666668
T_DOREW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,742380.0882,1447622.3996254273
T_DOREW-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,546888.9872,1122536.8713757005
T_DOUGW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,405378.72750000004,492638.07980171574
T_DRSLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,699928.817,796836.834010555
T_DUNGW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1163249.1308,1373242.3354373942
T_DWEXW-1,4370,2025-10-01 23:00:00+00:00,2025-12-31 23:30:00+00:00,730.86,730.86
T_EAAO-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,5637817.1927,5682851.46523837
T_EAAO-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,6760248.4008,6800663.7087272
T_EDINW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,372543.45920000004,455479.76153208315
T_ENHLW-1,624,2025-12-19 00:00:00+00:00,2025-12-31 23:30:00+00:00,0.0,0.0
T_EWHLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,387968.6138,425043.91596666677
T_FALGW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1750586.53,1900174.8487264104
T_FARR-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,406376.69539999997,506728.2817259843
T_FARR-2,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,409412.96630000003,510411.41152272257
T_FSDLW-1,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,290821.34859999997,290987.9066
T_GANW-11,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1625006.832,1633161.9528369445
T_GANW-13,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1666972.09,1671419.055005556
T_GANW-22,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1654559.135,1659453.929
T_GANW-24,78576,2021-07-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,1652484.4360000002,1656990.716
