analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,bin_width_mw,bin_lower_mw,bin_upper_mw,bin_midpoint_mw,bin_observations,direction_observations,probability,probability_pct,probability_density_per_mw,cumulative_probability,cumulative_probability_pct
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4200.0,4300.0,4250.0,256,15442,0.01657816345033027,1.657816345033027,0.0001657816345033027,0.5340629452143505,53.40629452143505
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4300.0,4400.0,4350.0,215,15442,0.01392306696023831,1.392306696023831,0.0001392306696023831,0.5479860121745888,54.798601217458874
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4400.0,4500.0,4450.0,230,15442,0.0148944437249061,1.4894443724906101,0.00014894443724906102,0.5628804558994949,56.28804558994949
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4500.0,4600.0,4550.0,269,15442,0.017420023313042352,1.7420023313042352,0.00017420023313042353,0.5803004792125372,58.030047921253725
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4600.0,4700.0,4650.0,230,15442,0.0148944437249061,1.4894443724906101,0.00014894443724906102,0.5951949229374434,59.519492293744335
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4700.0,4800.0,4750.0,246,15442,0.01593057894055174,1.593057894055174,0.0001593057894055174,0.6111255018779951,61.112550187799506
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4800.0,4900.0,4850.0,236,15442,0.015282994430773215,1.5282994430773216,0.00015282994430773216,0.6264084963087683,62.64084963087683
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4900.0,5000.0,4950.0,273,15442,0.017679057116953764,1.7679057116953765,0.00017679057116953763,0.6440875534257221,64.4087553425722
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5000.0,5100.0,5050.0,228,15442,0.014764926822950395,1.4764926822950395,0.00014764926822950395,0.6588524802486725,65.88524802486725
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5100.0,5200.0,5150.0,253,15442,0.01638388809739671,1.638388809739671,0.00016383888097396712,0.6752363683460691,67.52363683460692
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5200.0,5300.0,5250.0,261,15442,0.016901955705219532,1.6901955705219531,0.00016901955705219532,0.6921383240512887,69.21383240512887
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5300.0,5400.0,5350.0,243,15442,0.015736303587618183,1.5736303587618183,0.00015736303587618184,0.7078746276389069,70.78746276389069
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5400.0,5500.0,5450.0,241,15442,0.01560678668566248,1.560678668566248,0.00015606786685662478,0.7234814143245694,72.34814143245694
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,5500.0,5600.0,5550.0,226,15442,0.01463540992099469,1.463540992099469,0.00014635409920994691,0.738116824245564,73.81168242455641
