analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,percentile,percentile_label,level_mw,direction_observations,direction_duration_hours,direction_share_of_operational_half_hours_pct,operational_observations,first_timestamp,last_timestamp
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,100,P100,1102.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,0,P0,2.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,5,P5,20.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,10,P10,54.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,20,P20,144.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,30,P30,248.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,40,P40,362.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,50,P50,448.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,60,P60,524.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,70,P70,528.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,75,P75,530.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,85,P85,530.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,90,P90,532.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,95,P95,532.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),export,export_mw_positive_magnitude_conditional_on_exporting,100,P100,588.0,9627,4813.5,54.948630136986296,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTEW,Ireland(East-West),import,import_mw_conditional_on_importing,0,P0,2.0,867,433.5,4.948630136986301,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
