focal_interconnectorId,other_interconnectorId,focal_state,observations,other_import_share_pct,other_export_share_pct,other_near_zero_share_pct
INTNED,INTIFA2,export,27494,52.06954244562449,47.85771441041682,0.0727431439586819
INTNED,INTIRL,import,51894,22.482367903803908,72.45153582302386,5.066096273172236
INTNED,INTIRL,export,27494,29.75922019349676,61.67891176256638,8.561868043936858
INTNED,INTNEM,import,51894,88.71160442440359,9.168690021967857,2.1197055536285503
INTNED,INTNEM,export,27494,31.71601076598531,65.617953007929,2.6660362260856916
INTNED,INTNSL,import,47723,89.39714603021604,8.438279236426881,2.1645747333570813
INTNED,INTNSL,export,27408,68.16622883829538,28.98058960887332,2.8531815528312903
INTNED,INTVKL,import,22369,82.05999374133846,12.177567168849746,5.762439089811793
INTNED,INTVKL,export,15611,30.510537441547626,61.52712830696304,7.962334251489335
INTNEM,INTELEC,import,47017,77.44645553735883,9.832613735457388,12.720930727183784
INTNEM,INTELEC,export,22972,50.81403447675431,37.48041093505137,11.705554588194325
INTNEM,INTEW,import,60216,13.09618705991763,58.18553208449582,28.718280855586553
INTNEM,INTEW,export,25285,25.691121218113505,40.553687957286925,33.75519082459956
INTNEM,INTFR,import,60216,82.22731499933572,14.557592666400957,3.215092334263319
INTNEM,INTFR,export,25285,51.552303737393714,44.97528178762112,3.472414474985169
INTNEM,INTGRNL,import,15870,9.684940138626338,88.63264020163831,1.6824196597353496
INTNEM,INTGRNL,export,8540,21.99063231850117,72.48243559718969,5.526932084309133
INTNEM,INTIFA2,import,60216,70.13584429387538,29.82595987777335,0.038195828351268765
INTNEM,INTIFA2,export,25285,43.21534506624481,56.666007514336556,0.11864741941862765
INTNEM,INTIRL,import,60216,20.03952437890262,75.36535140162083,4.595124219476551
INTNEM,INTIRL,export,25285,34.93771010480522,55.669369191220085,9.392920703974688
INTNEM,INTNED,import,60216,76.45144147734821,14.481201009698419,9.067357512953368
INTNEM,INTNED,export,25285,18.817480719794343,71.35060312438203,9.831916155823611
INTNEM,INTNSL,import,55949,89.15262113710702,8.316502529088991,2.530876333804
INTNEM,INTNSL,export,25256,66.32087424770351,31.865695280329426,1.8134304719670573
INTNEM,INTVKL,import,30589,72.51953316551702,20.899669815946908,6.5807970185360745
INTNEM,INTVKL,export,12554,33.71037119643142,57.949657479687744,8.339971323880835
INTNSL,INTELEC,import,58776,71.90690077582687,15.23070641077991,12.862392813393223
INTNSL,INTELEC,export,11290,49.61027457927369,43.86182462356067,6.527900797165634
INTNSL,INTEW,import,68260,15.04541459126868,55.59478464693818,29.359800761793142
INTNSL,INTEW,export,12997,28.975917519427558,36.262214357159344,34.761868123413095
INTNSL,INTFR,import,68260,77.14327571051861,20.435101084090242,2.4216232053911515
INTNSL,INTFR,export,12997,43.77933369239055,50.68862045087328,5.53204585673617
INTNSL,INTGRNL,import,20085,11.914363953198905,84.87926313169032,3.206372915110779
INTNSL,INTGRNL,export,4169,24.346366035020388,73.3749100503718,2.2787239146078195
INTNSL,INTIFA2,import,68260,64.7260474655728,35.20509815411661,0.0688543803105772
INTNSL,INTIFA2,export,12997,35.08501961991229,64.89189813033776,0.023082249749942295
INTNSL,INTIRL,import,68260,21.86639320246118,72.52856724289481,5.605039554644009
INTNSL,INTIRL,export,12997,40.52473647764869,51.24259444487189,8.232669077479418
INTNSL,INTNED,import,68260,62.50073249340756,27.370348666862,10.128918839730442
INTNSL,INTNED,export,12997,30.98407324767254,61.11410325459722,7.901823497730246
INTNSL,INTNEM,import,68260,73.07354233811895,24.53852915323762,2.387928508643422
INTNSL,INTNEM,export,12997,35.8005693621605,61.9219819958452,2.2774486419943063
INTNSL,INTVKL,import,37478,65.93201344788943,26.813063664016223,7.254922888094349
INTNSL,INTVKL,export,5273,30.26739996207093,63.05708325431443,6.675516783614641
INTVKL,INTELEC,import,26921,76.78020875896141,3.736859700605475,19.482931540433118
INTVKL,INTELEC,export,13868,82.29737525237958,5.855206230170176,11.847418517450246
INTVKL,INTEW,import,26921,5.661008134913264,66.41283756175477,27.926154303331973
INTVKL,INTEW,export,13868,8.23478511681569,56.67003172771848,35.09518315546582
INTVKL,INTFR,import,26921,93.71494372423015,6.177333680026745,0.1077225957431002
INTVKL,INTFR,export,13868,90.45284107297375,9.482261321026824,0.06489760599942314
INTVKL,INTGRNL,import,14256,11.770482603815937,86.02693602693603,2.202581369248036
INTVKL,INTGRNL,export,9152,18.71722027972028,76.62805944055944,4.65472027972028
INTVKL,INTIFA2,import,26921,70.81460569815385,29.129675717841092,0.055718584005051815
INTVKL,INTIFA2,export,13868,74.04816844534179,25.908566483991923,0.04326507066628209
INTVKL,INTIRL,import,26921,9.561309015266891,83.51101370677166,6.927677277961443
INTVKL,INTIRL,export,13868,15.568214594750504,74.60340351889242,9.82838188635708
INTVKL,INTNED,import,26921,68.1846885331154,17.692507707737455,14.122803759147134
INTVKL,INTNED,export,13868,19.642342082492068,69.26016729160658,11.097490625901356
INTVKL,INTNEM,import,26921,82.40035659893763,15.72006983395862,1.879573567103748
INTVKL,INTNEM,export,13868,46.09893279492356,52.45889818286703,1.442169022209403
INTVKL,INTNSL,import,26921,91.78708071765537,5.928457338137513,2.2844619442071243
INTVKL,INTNSL,export,13868,72.46178252091146,23.976059994231324,3.562157484857225
