interconnectorId,interconnectorName,trend_label,date,rolling_30d_mean_signed_mw,rolling_30d_mean_import_mw,rolling_30d_mean_export_mw,rolling_30d_import_share_pct,rolling_30d_export_share_pct
INTELEC,Eleclink (INTELEC),more_importing,2022-06-25 00:00:00+00:00,-683.9972222222223,13.384722222222223,697.3819444444446,3.8194444444444446,90.83333333333333
INTELEC,Eleclink (INTELEC),more_importing,2022-06-26 00:00:00+00:00,-678.7055555555556,13.384722222222223,692.0902777777777,3.8194444444444446,90.20833333333333
INTELEC,Eleclink (INTELEC),more_importing,2022-06-27 00:00:00+00:00,-681.1208333333333,12.780555555555557,693.9013888888888,3.5416666666666674,89.79166666666667
INTELEC,Eleclink (INTELEC),more_importing,2022-06-28 00:00:00+00:00,-719.1319444444446,1.6833333333333333,720.8152777777777,1.1805555555555556,92.91666666666667
INTELEC,Eleclink (INTELEC),more_importing,2022-06-29 00:00:00+00:00,-738.3180555555555,1.6611111111111112,739.9791666666666,0.9722222222222222,94.375
INTELEC,Eleclink (INTELEC),more_importing,2022-06-30 00:00:00+00:00,-745.5694444444446,1.8875,747.4569444444444,1.25,94.09722222222221
INTELEC,Eleclink (INTELEC),more_importing,2022-07-01 00:00:00+00:00,-759.6763888888889,1.8875,761.563888888889,1.25,94.09722222222221
INTELEC,Eleclink (INTELEC),more_importing,2022-07-02 00:00:00+00:00,-758.7986111111111,1.8875,760.6861111111112,1.25,94.09722222222221
INTELEC,Eleclink (INTELEC),more_importing,2022-07-03 00:00:00+00:00,-757.2291666666666,1.8875,759.1166666666667,1.25,94.09722222222221
INTELEC,Eleclink (INTELEC),more_importing,2022-07-04 00:00:00+00:00,-755.9902777777777,1.8875,757.8777777777779,1.25,94.09722222222221
INTELEC,Eleclink (INTELEC),more_importing,2022-07-05 00:00:00+00:00,-770.811111111111,0.47222222222222227,771.2833333333333,0.6944444444444443,94.65277777777777
