interconnectorId,interconnectorName,season,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTFR,France(IFA),Winter,21631,10815.5,72.77518376404235,26.998289491932876,0.22652674402477926,657.6485599371273,884.0,-1026.0,-84.0,1502.0,2000.0,1152.3463346461695,670.3150684931506,2630.0,2072.0,9070.118,1957.3200000000002,7112.798000000001,11027.438
INTGRNL,Ireland (Greenlink),Autumn,4368,2184.0,15.2014652014652,83.51648351648352,1.282051282051282,-332.66483516483515,-514.0,-514.0,-514.0,-224.0,350.0,262.71385542168673,446.140899122807,506.0,516.0,87.221,813.7610000000002,-726.5400000000001,900.9820000000001
INTGRNL,Ireland (Greenlink),Spring,8832,4416.0,12.850996376811594,86.53759057971014,0.6114130434782609,-369.6940670289855,-514.0,-514.0,-514.0,-310.0,166.89999999999782,156.37180616740088,450.4278424702342,506.0,516.0,88.741,1721.3100000000002,-1632.569,1810.0510000000002
INTGRNL,Ireland (Greenlink),Summer,5854,2927.0,8.199521694567817,83.0543218312265,8.746156474205671,-345.0700375811411,-500.0,-514.0,-514.0,-200.0,72.0,202.4125,435.45824763471825,506.0,518.0,48.579,1058.5990000000002,-1010.0200000000001,1107.178
INTGRNL,Ireland (Greenlink),Winter,5760,2880.0,20.97222222222222,76.875,2.1527777777777777,-286.9951388888889,-493.0,-514.0,-514.0,-49.5,218.20000000000073,222.82119205298014,434.11472448057816,506.0,514.0,134.584,961.1300000000001,-826.5460000000002,1095.7140000000002
INTIFA2,IFA2 (INTIFA2),Autumn,21832,10916.0,47.17845364602418,52.74825943569073,0.07328691828508611,155.4107731769879,-2.0,-1030.0,-198.5,908.0,992.0,769.1811650485437,393.3343174713442,1398.0,1030.0,3961.2830000000004,2264.819,1696.464,6226.102
INTIFA2,IFA2 (INTIFA2),Spring,22077,11038.5,78.19450106445622,21.733025320469267,0.07247361507451193,531.9402092675635,954.0,-1028.0,166.0,992.0,992.0,844.4363088686787,590.6335973322217,1178.0,1626.0,7288.752,1416.9300000000003,5871.822,8705.682
INTIFA2,IFA2 (INTIFA2),Summer,22074,11037.0,64.52840445773307,35.41270272719036,0.058892815076560655,333.2971822053094,610.0,-1028.0,-4.0,990.0,992.0,775.0484414490312,471.0999104515799,1156.0,1030.0,5519.895,1841.2939999999999,3678.601,7361.189
INTIFA2,IFA2 (INTIFA2),Winter,21631,10815.5,56.86283574499561,43.03545836993204,0.10170588507234987,290.36974712218574,244.0,-956.0,-4.0,964.0,992.0,731.2611382113821,291.49468256525944,996.0,1030.0,4497.256,1356.7620000000002,3140.494,5854.018
INTIRL,Northern Ireland(Moyle),Autumn,21832,10916.0,27.720776841333823,69.6729571271528,2.606266031513375,-174.76823012092342,-288.0,-452.0,-452.0,28.0,400.0,228.07699933906147,341.5858260469397,500.0,506.0,690.1610000000001,2597.931,-1907.77,3288.092
INTIRL,Northern Ireland(Moyle),Spring,22077,11038.5,19.70829369932509,76.0791774244689,4.212528876206006,-221.4313538977216,-330.0,-452.0,-452.0,-18.0,324.0,212.28591128476214,346.046439628483,682.0,592.0,461.8280000000001,2906.098,-2444.27,3367.9260000000004
INTIRL,Northern Ireland(Moyle),Summer,22074,11037.0,17.06079550602519,69.68832110174866,13.250883392226148,-204.87750294464075,-256.0,-454.0,-450.0,0.0,244.0,168.96919808815719,335.35747253461614,404.0,458.0,318.169,2579.402,-2261.233,2897.571
INTIRL,Northern Ireland(Moyle),Winter,21631,10815.5,33.835698765660396,62.30410059636633,3.860200637973279,-125.43534741805742,-174.0,-452.0,-448.0,142.0,400.0,234.59816914879082,328.73161682867106,404.0,486.0,858.5120000000001,2215.1580000000004,-1356.6460000000002,3073.67
INTNED,Netherlands(BritNed),Autumn,21832,10916.0,54.87816049835105,37.86185415903262,7.259985342616343,157.34985342616343,196.0,-1042.0,-472.0,902.0,1042.0,737.6357566146398,653.5630292765545,1402.0,1076.0,4418.807000000001,2701.1760000000004,1717.6310000000003,7119.983
INTNED,Netherlands(BritNed),Spring,22077,11038.5,63.10640032613127,30.27585269737736,6.617746976491371,279.916836526702,450.0,-1014.0,-262.0,1002.0,1050.0,763.7754809072638,667.4440454817475,1078.0,1080.0,5320.460000000001,2230.598,3089.862,7551.058
INTNED,Netherlands(BritNed),Summer,22074,11037.0,51.59463622361149,37.088882848600164,11.316480927788348,124.76306967473045,104.0,-1018.0,-554.0,858.0,1030.0,743.0480287997191,697.2705508733358,1196.0,1082.0,4231.286999999999,2854.277,1377.01,7085.564
INTNED,Netherlands(BritNed),Winter,21631,10815.5,67.45873977162405,20.14238823910129,12.398871989274653,373.10702232906476,484.0,-898.0,0.0,984.0,1054.0,728.6281524122807,587.8962588937342,1098.0,1094.0,5316.071,1280.7320000000002,4035.339,6596.803
INTNEM,Belgium (Nemolink),Autumn,21832,10916.0,64.76273360205204,28.151337486258704,7.085928911689264,304.70437889336756,462.0,-994.0,-114.0,942.5,1016.0,723.028219817526,580.9616010413276,1020.0,1022.0,5111.448,1785.295,3326.1530000000002,6896.743
INTNEM,Belgium (Nemolink),Spring,22077,11038.5,73.45653847896,26.076912623997828,0.46654889704217056,381.43126330570277,598.0,-1020.0,-40.0,992.0,1016.0,720.8319664549547,567.8085808580859,1366.0,1024.0,5844.866,1634.437,4210.429,7479.303
INTNEM,Belgium (Nemolink),Summer,22074,11037.0,63.97118782277793,35.34927969556945,0.6795324816526229,235.23548065597535,412.0,-1020.0,-342.0,898.0,1016.0,697.2170526166702,596.2852748942714,1020.0,1044.0,4922.701,2326.407,2596.294,7249.108
INTNEM,Belgium (Nemolink),Winter,21631,10815.5,72.7613147797143,25.791687855392727,1.4469973648929777,385.03009569599186,566.0,-868.0,-26.0,972.0,1018.0,707.2129106042315,502.2832048754257,1034.0,1024.0,5565.412,1401.1190000000001,4164.293,6966.531000000001
INTNSL,North Sea Link (INTNSL),Autumn,20346,10173.0,77.44519807333137,15.86552639339428,6.689275533274354,746.7402929322717,1090.0,-1080.0,182.0,1398.0,1400.0,1106.1519324744559,692.8308550185874,1400.0,1454.0,8714.818,1118.2290000000003,7596.589,9833.047
INTNSL,North Sea Link (INTNSL),Spring,22077,11038.5,84.41364315803777,15.35081759297006,0.2355392489921638,833.1715359876795,1096.0,-738.0,694.0,1398.0,1398.0,1101.5025756600128,629.5880790793744,1400.0,1454.0,10263.801,1066.837,9196.964,11330.637999999999
INTNSL,North Sea Link (INTNSL),Summer,19098,9549.0,83.35427793486228,14.383705100010472,2.2620169651272386,878.1336265577547,1298.0,-736.0,492.0,1398.0,1400.0,1142.0807839688423,513.3556607207863,1846.0,1454.0,9090.392,705.094,8385.297999999999,9795.486
INTNSL,North Sea Link (INTNSL),Winter,21631,10815.5,82.97351023993342,16.795340021265776,0.23114973880079517,740.2921732698442,1048.0,-1044.0,460.0,1398.0,1398.0,1033.0687541787386,695.9146710707404,1400.0,1454.0,9270.759000000002,1264.129,8006.63,10534.888
INTVKL,Denmark (Viking link),Autumn,8736,4368.0,63.873626373626365,34.31776556776557,1.8086080586080588,337.22413003663,609.0,-1092.0,-474.0,992.0,1424.0,933.5978494623656,754.9986657771848,2480.0,1454.0,2604.738,1131.743,1472.995,3736.4809999999998
INTVKL,Denmark (Viking link),Spring,13248,6624.0,58.212560386473434,29.36292270531401,12.42451690821256,320.1681763285024,354.0,-1088.0,-180.0,986.0,1422.0,874.454356846473,643.2401028277635,1430.0,1456.0,3371.896,1251.102,2120.794,4622.9980000000005
INTVKL,Denmark (Viking link),Summer,10270,5135.0,54.800389483933785,36.27069133398248,8.928919182083739,210.67049659201558,211.0,-1094.0,-496.0,988.0,1424.0,879.270078180526,747.636510067114,1436.0,1454.0,2474.2659999999996,1392.473,1081.7930000000001,3866.7390000000005
INTVKL,Denmark (Viking link),Winter,11616,5808.0,68.87913223140497,28.02169421487603,3.0991735537190084,428.05802341597797,674.0,-1092.0,-152.0,1066.5,1422.0,894.7926509186352,671.8629800307219,1426.0,1402.0,3579.6179999999995,1093.4569999999999,2486.161,4673.075
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Autumn,21840,10920.0,72.91666666666666,27.028388278388277,0.054945054945054944,1694.7551282051281,2260.0,-4150.0,-274.0,3970.0,5802.0,3215.782605965463,2405.1983737082837,8736.0,6360.0,25605.669,7098.943,18506.726000000002,32704.612
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Spring,22080,11040.0,84.29800724637681,15.670289855072465,0.03170289855072463,3187.465489130435,3767.0,-3138.1,1374.0,5658.0,7000.0,4204.485144791275,2277.122543352601,9230.0,6746.0,39129.041000000005,3939.422,35189.619000000006,43068.463
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Summer,22078,11039.0,73.73403387988043,26.21614276655494,0.04982335356463448,2229.417247939125,3041.0,-3940.2999999999997,-166.0,4708.0,6670.0,3842.309601326863,2302.675190048376,8902.0,7914.0,31274.479,6663.942,24610.537,37938.421
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,Winter,21648,10824.0,81.65650406504065,18.23263118994826,0.11086474501108648,2693.211382113821,2928.0,-2270.0,742.0,4912.0,6745.299999999996,3666.4583356904454,1649.1877375221688,8862.0,7206.0,32405.992000000002,3254.672,29151.32,35660.664000000004
